,Trailer,Type,Onset,Offset,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_neg_peak,AIns_neg_peak,MPFC_neg_peak,NAcc_slope_peak,AIns_slope_peak,MPFC_slope_peak,NAcc_slope_peak_avg,AIns_slope_peak_avg,MPFC_slope_peak_avg,NAcc_narrow_slope_peak,AIns_narrow_slope_peak,MPFC_narrow_slope_peak,NAcc_narrow_slope_peak_avg,AIns_narrow_slope_peak_avg,MPFC_narrow_slope_peak_avg,NAcc_delta_peak,AIns_delta_peak,MPFC_delta_peak,NAcc_delta_peak_avg,AIns_delta_peak_avg,MPFC_delta_peak_avg,NAcc_narrow_delta_peak,AIns_narrow_delta_peak,MPFC_narrow_delta_peak,NAcc_narrow_delta_peak_avg,AIns_narrow_delta_peak_avg,MPFC_narrow_delta_peak_avg,NAcc_ISC,AIns_ISC,MPFC_ISC
0,rc1,comedy,108.0,138.0,1.7138966241703175,-0.2799419096099991,0.29968306179722265,-0.2799419096099991,3.074074074074074,0.8333333333333334,0.0190462865498264,-0.1404976597156552,-0.10995185110511001,-0.05163427121686693,-0.05016574524719814,-0.07275775961412605,0.04636099968665365,-0.01816153878063214,-0.02188436992350651,0.6407661593048131,0.36024315398840384,0.40574730841585854,0.3912615040383017,0.3639368368344492,0.3575774938991226,0.23040173027409572,0.15157259925461958,0.2403520830953768,0.004591005006537706,-0.06960831458116183,-0.06819799354758085,0.42080979787240347,0.29191753002582427,0.3345589618034527,0.44726642182178283,0.4422952694686798,0.6247492816714835,-0.4059778379080506,-0.5649504046335729,-0.7713799723225994,0.14108862266892636,0.09951100332852388,0.1953974243828045,0.12507095525985107,0.10669242054424241,0.15169988965404058,0.3409418844764016,0.43769684354253424,0.6402482169745068,0.3135486654146636,0.33120979944955053,0.5979599502798081,0.022236910892666842,-0.002351902837143135,-0.035679196410195464,0.03506928998731398,0.0006798327546026633,-0.010496579468351662,0.009513359482714277,0.006769255466283845,-0.022395528845333957,0.008045267589809654,0.006851488752160652,-0.005593965272541399,0.24059397850617026,0.12683667449784955,0.11618726818992438
1,rc10,comedy,568.0,598.0,1.3884621148110605,-0.18349296140706622,-0.025751447562034457,-0.18349296140706622,2.4615384615384617,0.2091346153846154,-0.016802456025931684,-0.07190336899503524,-0.05062155433354812,0.017171908076218143,-0.057143861843869326,0.10227464208859972,0.00019389637933397045,-0.034919202730505215,0.004172212925588851,0.12192130336523459,0.06432740791798836,0.1728281392272997,0.04434965686415807,-0.05000247201709629,0.16810421261004135,0.17436289919295583,0.12022298172833544,0.2042899866135613,0.00018778280987347836,-0.05465547785646993,0.01860843356021348,0.11354461980744948,0.044849305876409194,0.18174077948363412,0.4430859355714685,0.4372424194208722,0.7876864515569589,-0.4328863980055818,-0.5545531598026326,-0.7260958048783602,0.04038036274294814,0.03971039252959568,0.24385384375103594,0.02632978459688414,0.034215819639053,0.21989989785589306,0.392445729370194,0.3731640941732878,0.6190405832522685,0.28762462023428065,0.2980931393576528,0.4979983418987682,0.00686645000961407,0.014082734188860597,-0.010127726078524342,-0.004610014625748539,0.01295049694612457,-0.0019231896274130296,0.010912795821422381,0.010398752005747153,0.00999096000312205,0.008050120689731936,0.008376840297416288,0.007920260038428467,0.009732588307697439,0.054303237877306794,0.07910843262015708
2,rc11,comedy,512.0,542.0,1.1657782377208332,-0.11444893099486672,-0.2484353246522617,-0.11444893099486672,2.0357142857142856,-0.27901785714285715,0.02902154102468585,0.0635071599459695,0.17254194734109465,-0.015802840639023312,-0.11700830526967818,0.019299644098071618,-0.0004849170025965206,-0.11828815439517133,-0.01821358957048019,0.04032906692573044,0.08842717480772153,0.1933554808254854,0.02636174816520015,-0.11157919537167545,0.1510438304624749,-0.06645129088889533,-0.20974113393887753,-0.020538914009972122,0.004244594461022008,-0.05726309990629334,0.057876000622895364,7.984140067842387e-05,-0.0776310515009438,0.10795346575932939,0.42683289938801794,0.46124476918049784,0.8023091301513373,-0.41817606734592266,-0.5857432139879356,-0.6151729566528475,0.04220700549394407,0.009891452227025517,0.06324852775740762,0.028928870166667765,0.025386851027933994,0.06675646201576924,0.31842985557287734,0.3609042250051083,0.5264050610917139,0.24019134390688887,0.26350604902903735,0.4941994539385677,0.001212661320640744,-0.02752238652260424,0.006073934568766973,0.0004596064754530975,-0.028447506125618933,0.0059969049819887784,0.00933354658968984,0.009928002700557534,0.008635049378330048,0.007496552181061668,0.006604369061802414,0.008613830705296319,-0.14292595888099627,0.12234440472090824,0.012379124341049976
3,rc12,comedy,656.0,686.0,1.0956433148270663,-0.060915062982978246,-0.31857024754602875,-0.060915062982978246,1.8518518518518519,-0.4837962962962963,-0.10336876041513257,-0.13023828579224506,-0.05755540807536561,-0.025924387283046493,-0.09319902668901418,0.0667771869448503,0.036511482008958165,-0.07878765828899813,0.07734753069511043,-0.07887512284179846,-0.12504096693591354,-0.029352058040050054,-0.08561528714934674,-0.2051139790120344,-0.008424531784927369,0.0049119114221653345,-0.10622194818274526,0.10374309918105495,-0.03092722189640696,-0.10074165692341912,0.028856436521531706,-0.05319283285632662,-0.1454589647102311,0.02198883645202586,0.3974764302724382,0.44091129447282706,0.7611641516841493,-0.4647698339745667,-0.6519877398169931,-0.6300863012095457,0.09961500655748,0.1285841464742409,0.1696634633192025,0.090732942180262,0.10878408082813076,0.22127393638367984,0.431112107811213,0.4220059269504689,0.611646445730018,0.33940350404132924,0.36875402433604837,0.47153389530108797,0.015890704463309188,0.006330826822248201,0.010397610110550883,0.007608786464046802,0.004100966899031715,0.00864137296119517,0.019860952284584642,0.013870809332428314,-0.02940897174597228,0.014556096622743429,0.012055419030234014,-0.004798143983047321,-0.16932403969117366,0.0014401606475045675,0.03100506500703164
4,rc2,comedy,108.0,138.0,1.1110102541983629,-0.06719439099873514,-0.303203308174732,-0.06719439099873513,1.9285714285714286,-0.3861607142857143,-0.02591225329910001,-0.08911729348373197,-0.01913788989187568,-0.05750256328908547,-0.13640061026660413,-0.10623940590142603,-0.017838964897915605,-0.0019664448379236783,0.00040021551343609463,0.17928976905302849,0.055493997386807416,0.14276787846421563,0.12450801542471393,-0.05879267082345096,-0.08800602930114264,0.19996024374017637,0.2338884958115748,0.23930279874061458,-0.03375126049536702,-0.0758281161960866,-0.041659026759955205,0.16791934273930628,0.0768632741249771,0.0980215493012292,0.3947675011445942,0.45843814594007204,0.6995783202033324,-0.4431753687495405,-0.5675480546981022,-0.7141103543356591,0.06076587329760725,0.12367903273555018,0.25780427872195283,0.10510407697739214,0.14468038729964963,0.2493335577994304,0.32316601187875166,0.40619974625173727,0.6574258845469597,0.2453161137118661,0.3596374177711044,0.4963906879739783,0.8922553617533969,0.007513904930717851,0.019806476067438496,0.5339347201438887,0.00962406087634816,0.018707952733628245,0.010254386998638213,0.012603009596589191,0.013576122085319187,0.0076737093205603065,0.011275051285167158,0.01134297047366713,-0.014274835022739314,0.18778409122413067,0.17254115835640754
5,rc3,comedy,12.0,42.0,1.439489298141293,-0.2766234689623607,0.025275735768197995,-0.2766234689623607,2.6923076923076925,0.44711538461538464,0.03520772875259272,0.02533192544917284,0.007594957483502699,-0.06763238647787474,-0.11803489769951121,-0.08819844881062215,-0.04107392568635977,-0.0493243899599709,-0.2059566632292434,0.04069087553458249,0.0334420547502811,0.014035577666241928,-0.024979038090531754,-0.15555282826445183,-0.09709058411483748,-0.2119281719943711,-0.24934597202227662,-0.36958935193262027,-0.0244995278038806,-0.047342454070103096,-0.0955200515187876,-0.06540544485010677,-0.12381891517881576,-0.15088145279373857,0.43401321519663705,0.4365444271829207,0.5877023982594682,-0.45592562990440116,-0.5722989519117341,-0.8401542981163783,0.11008858945520172,0.09576376378791757,0.04144371610604072,0.08591836938953078,0.054918782181894894,0.10035342059708632,0.3286004241954582,0.2771197795856944,0.4573748593229184,0.2656381149506535,0.3028458033919868,0.4806421640720298,0.009937574686501324,0.009313984539242712,0.00327104281717036,0.005857966201509898,0.006966635654231766,0.009468119598831289,0.00916238577797616,0.007779562637536296,0.014081875252172917,0.0076438423490630455,0.008719529848755857,0.01730221003973276,-0.0482459219251901,-0.013874920799124031,0.12468824906477935
6,rc4,comedy,332.0,362.0,1.7517567602304576,-0.2940730266087635,0.3375431978573627,-0.2940730266087635,3.2222222222222223,0.9814814814814815,-0.008047524916879446,-0.0037606382038190417,0.1017891015220916,-0.0819761647500758,-0.10637085126122994,-0.052023224093913994,-0.008415108084812392,-0.06256376525587673,-0.1698282874277686,-0.13311609183834378,-0.06491938738649522,0.009373241955315541,-0.19639241028452348,-0.29037681483237315,-0.20874614573469022,-0.1197886563202758,-0.1847949262691241,-0.30313036671785604,-0.032812932583922545,-0.057565084906975234,-0.040020803333197005,-0.14976571948104772,-0.18003037616266418,-0.16750109016574358,0.4225331298949493,0.4343298682360185,0.5888563521989341,-0.45410818270684183,-0.5596249833093547,-0.7526470889507524,0.03729162330730239,0.08811550690395535,0.07830119781614923,0.05030317784172515,0.10195706802982937,0.07405788514834055,0.4229903162917586,0.3469797690970409,0.4096184017727217,0.28304262360556925,0.28821997302857877,0.39772351377649406,0.008109245822627512,0.002152848147663114,0.003616203778050776,0.008411069888531223,-0.003817363126269227,0.004957715646304301,0.012504644153186749,-0.0005746386571317234,0.010577456792679928,0.008758864007599735,0.0051552785812202856,0.011223605450309504,-0.011884906960620707,0.08829512939331316,0.1392259811468799
7,rc5,comedy,700.0,730.0,1.4662562438587872,-0.09323730511863255,0.05204268148569219,-0.09323730511863255,2.5555555555555554,0.2523148148148148,-0.00044154853924832443,0.03994005164199659,0.12616387043702962,-0.050192562275124655,-0.07762207622581216,-0.14562927373905166,-0.036725952712172265,-0.12315257041197868,-0.18303143680439593,-0.10386860884533441,0.023917940071118544,0.06325969526763456,-0.3125860749457927,-0.3300619322243482,-0.37752736650527163,-0.003871679640105391,-0.07435222956292489,-0.165053434726097,-0.02912002117551508,-0.05361153166526474,-0.06749894670213932,-0.1401087878104108,-0.12683207390538487,-0.15977370198791135,0.393831815406882,0.5094316711542162,0.7214897907686617,-0.4598124018138084,-0.5703493525739375,-0.7516962555916306,0.043905734515974786,0.11037882951692167,0.0822584162053289,0.04069595573359571,0.13544690543445131,0.09039743693904806,0.32916658281441946,0.34481314056149337,0.41336706333451007,0.24558107219376155,0.3128951323000764,0.3916215554204566,-0.0007342335388786074,0.0015573960649678308,0.0014434610859615819,0.0006662829261264901,0.007416086074224378,0.0016828229900120303,0.012731642754904817,0.007829858597067266,0.006608811552712951,0.008023401976864747,0.008012999669177442,0.006688438960201674,0.07446726246696661,0.10553980246400307,0.2813382647755694
8,rc6,comedy,420.0,450.0,1.3205775579631298,-0.13132022574318986,-0.09363600440996521,-0.13132022574318986,2.3214285714285716,0.006696428571428571,-0.05022941141000138,0.008065309920353635,0.05154093459382908,-0.023869285060157043,-0.19393427981702271,-0.06178550429612343,-0.02953005789333516,-0.01571700528040448,-0.08394072658123033,0.19344750981419345,0.3195736285166601,0.2959423180381851,0.02273046195470302,-0.22557519043889565,0.00571816464641871,-0.1815001305952691,-0.13259961656664515,-0.2779810742524832,-0.03454291812116453,-0.06719532505902452,-0.03139509876117489,0.01155928039120913,-0.012867059496293565,0.007893136144040193,0.4006276795601002,0.4144333149538482,0.6361053973092697,-0.4581685958595307,-0.5706886914885781,-0.8052220760663392,0.12231042893204659,0.09431209099178935,0.2700285806602825,0.10661437096427563,0.1047364694462304,0.2952671407322035,0.3362881184952159,0.29599188868195914,0.4460065260489,0.26884717573458455,0.27618986372682713,0.4757409017945551,0.0004360950455479002,-0.020335248696277904,-0.004230286702149778,0.0037250929239673685,-0.00527215398531472,0.0047665604108408305,0.01074472613815344,-0.007233518088809739,0.009261165200082118,0.009518557404388214,0.003504438959907221,0.009397261670031304,0.08757633365728822,0.3005761108985654,0.3018955442341939
9,rc7,comedy,660.0,690.0,1.1835787823750477,-0.21802532951637602,-0.2306347799980472,-0.21802532951637602,2.1481481481481484,-0.09259259259259259,0.018247300944881625,-0.018471162387640707,-0.009103969193589386,-0.06387829539422828,-0.184958870893374,-0.15820009970998536,0.013469672966995725,-0.06635193040145985,0.04880788507386808,0.13377238332407065,0.08041344997242993,0.09408481297009025,-0.08171710817524597,-0.2431296074511714,-0.15261506581465148,-0.05927992820725106,-0.13532466667058707,0.004391214985984683,-0.010720440494116974,-0.0899273212274915,-0.039498727943235556,-0.0024082176861421373,-0.09934694138310951,-0.018046345952858846,0.4088900534104799,0.421081088222315,0.6815577145078481,-0.4172885314863455,-0.5679003219705262,-0.7808944843853584,0.02824550600939062,0.10205271868726994,0.09474361796331195,0.027583397717241415,0.06784793801395315,0.06162163616254833,0.3524020909123589,0.3036662066827536,0.5212253888343915,0.2512038224612536,0.32972220385604845,0.4204560659157523,0.02628304929321114,0.12116399422934555,0.03832462818548503,0.027630657029434458,0.06515977516722306,0.011605632681030976,0.013009940236222282,0.5075428135911019,0.008975569810134235,0.009168904582337496,0.17609213556407952,0.007267569197864076,0.17363880337384044,0.23551391735262117,0.09615184906544272
