,Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Gross_US_M1,Theaters_US_M1
0,rc1,comedy,1.7786938109073673,-0.32019032388278734,0.36448024853427247,-0.32019032388278734,3.107142857142857,0.8660714285714286,0.029611142427916397,-0.11678133418834283,-0.1005039238154251,-0.034784071983349076,-0.0836235830155219,-0.10595866573778934,0.01487545235410001,-0.03622604465989061,-0.015216883401674304,0.29491872436689787,-0.18788530196734574,-0.0923400904368006,-0.13668158822115603,-0.2903322692753739,-0.3215092967294126,0.13967687026028822,-0.02961396943056589,0.10997527813281929,0.0032341742662224384,-0.07887698728791843,-0.07389315765162956,0.09930466880200997,-0.16927718022442853,-0.10129136967779795,0.19977165011808992,0.08319262253159589,0.11322493671479299,0,1,Joy Ride,12897789.0,15518636,2611969.0,2820.0,926,5806277.0,12897789.0,15787674.0,8041997.0,2820.0,12168180.0,2820.0,12759173.0,335.0,12897789.0,66.0,12897789.0,6041.0,4.0,2.0,15518636.0,12897789.0,6041.0
1,rc10,comedy,1.54384706577366,-0.30493897940093817,0.12963350340056515,-0.30493897940093817,2.4814814814814814,0.22916666666666666,-0.04637344914787989,-0.1157097310854226,0.0071216240227703325,0.0385602742989157,-0.031083765776269028,0.01615056564647342,-0.0162995483373651,-0.05377577918613214,0.038555042865087076,-0.06367918473568301,-0.30532959021240724,0.08400238061375864,-0.02474763541443647,-0.2674254749055884,-0.13422109470523244,-0.13415057648824294,-0.22620755308916068,-0.02343288900635525,-0.00803757439544308,-0.06685642534927455,0.020609077511443617,-0.0741924655461208,-0.26632087273571875,-0.024550534365942997,0.025055779154290067,0.07684761195143677,0.07709221113884096,16,17,Easter Sunday,13013690.0,13021859,2033045.0,3175.0,640,5447130.0,13013690.0,13074255.0,7559570.0,3175.0,10948610.0,3176.0,12225220.0,1574.0,12660865.0,553.0,13013690.0,9026.0,7.0,3.0,13021859.0,12660865.0,8478.0
2,rc11,comedy,1.4458931555616457,-0.3527910076953002,0.031679593188550605,-0.3527910076953002,2.0344827586206895,-0.27155172413793105,0.03344265882489593,0.0758716356287732,0.18363436440177347,-0.026941289482960203,-0.09945585868813937,0.014757222812206858,0.005895550836186262,-0.12591236085257848,-0.030034531046082114,-0.14258154044308843,-0.03630675022774503,0.3173889076384956,-0.2140860097689617,-0.38737346270135026,-0.02520926694715419,0.2907933348719365,-0.18910737204235833,0.1342995900321282,0.004132306726040659,-0.04983219463731487,0.05611901872263273,-0.021958071780037922,-0.20426252832381786,0.14215974357448985,-0.062440226764096454,0.1585741275080312,-0.016839221357070507,25,26,My Big Fat Greej Wedding 3,28426750.0,38017696,3706845.0,3650.0,1016,10028675.0,28496030.0,38829246.0,13871615.0,3650.0,20803230.0,3678.0,25208780.0,3078.0,26897765.0,1474.0,28496030.0,13576.0,7.0,4.0,39126983.0,26897765.0,11880.0
3,rc12,comedy,1.3219891261463348,-0.270340652349132,-0.0922244362267601,-0.270340652349132,1.8571428571428572,-0.46875,-0.0989483364391834,-0.10521834777178399,-0.05227117178395835,-0.03302630088456876,-0.08806215474409407,0.06961026557802237,0.02733647399592135,-0.10656021856545587,0.09024457217775227,-0.2023773003923375,-0.24051474537356535,-0.0696500748272779,0.1589047826698383,0.013689212628702388,0.4101996129984937,0.1280852179180409,-0.34979395204109703,0.25051690910365354,-0.03487938777594359,-0.0999469070271113,0.03586122199060544,0.028204233398513894,-0.1922064949286533,0.19702214909162305,-0.18587364506640072,-0.03399415083434653,0.052136130977264876,26,27,About My Father,12089391.0,17655276,1464923.0,2464.0,595,4321148.0,12089391.0,18167819.0,6724093.0,2464.0,9916809.0,2464.0,11226509.0,960.0,11681574.0,273.0,12089391.0,6570.0,7.0,3.0,17657217.0,11681574.0,6161.0
4,rc2,comedy,1.3282902909532253,-0.26845102763871226,-0.08592327141986957,-0.2684510276387123,1.896551724137931,-0.40948275862068967,-0.014134076576639934,-0.07081734747055415,0.058927299834204645,-0.06347791955146796,-0.14277412390076094,-0.11104379127865632,-0.03298975148538168,-0.0445819902653389,-0.04213586111650592,0.024419682035511432,-0.23231824608930474,0.16720106111731975,-0.03098698172239078,-0.22893781134384175,-0.15102755883717436,-0.17595387342594676,-0.20829164247542956,-0.1377051366462749,-0.03686724920449651,-0.08605782054555133,-0.03141745085365254,-0.060840391037608715,-0.223182566636192,-0.04051054478870984,-0.03831221349710724,0.13298182545458095,0.15518443261922646,1,2,80 For Brady,39330588.0,40266090,4625369.0,3912.0,1182,12701640.0,39330588.0,12701640.0,18969658.0,3912.0,28647811.0,3939.0,34617281.0,3119.0,37473383.0,2397.0,39448525.0,15397.0,7.0,4.0,40384027.0,37473383.0,13367.0
5,rc3,comedy,1.5233017123788641,-0.32493756785249817,0.10908815000576924,-0.32493756785249817,2.740740740740741,0.49537037037037035,0.04935251505760466,0.06668307286484651,0.02657009827387143,-0.05734302584607221,-0.11151447757433537,-0.04092336467242071,-0.0442225498303819,-0.05936707994400677,-0.20896625870074176,-0.13488650419604667,-0.07140693013820297,-0.17157130458762188,0.12060782789530833,-0.09841029867748467,0.14967475994770918,0.14283418556278799,0.05618401116228047,-0.40265369582172006,-0.017404353539616464,-0.03473282821783187,-0.07443984169976366,0.04285183642068321,-0.03787773921780239,-0.14151674682054424,-0.01599770144105947,0.08446880889846034,0.17958797865739135,2,3,A Man Called Otto,64267657.0,108641148,1555761.0,637.0,2442,56257.0,64267657.0,113190218.0,85480.0,4.0,6223126.0,637.0,26346249.0,3802.0,39302864.0,3802.0,64267657.0,24008.0,15.0,6.0,108641148.0,39302864.0,8245.0
6,rc4,comedy,1.8251526913969534,-0.3690214638912808,0.4109391290238586,-0.3690214638912808,3.25,1.0089285714285714,-0.0002165491413546407,-0.005030631923880827,0.12178412551052967,-0.04498680832917914,-0.08651120488612032,0.018854127656741854,-0.036801694853029844,-0.11636826671170912,-0.2038233377195445,-0.061893101352214076,-0.0753924072442733,0.3236763077646379,-0.011094876925343939,-0.14473147697123992,0.20805011418165156,0.2819826900001651,0.019361155101712612,-0.15945567662695834,-0.027335017441187846,-0.06930336784057008,-0.02106169485075765,0.0696649039075357,-0.0669209097046002,0.12409024843977703,0.0284098481633485,0.057047115391227456,0.19274167876089873,3,4,Puss in Boots: The Last Wish,185535345.0,484643149,3200250.0,4099.0,781,12429515.0,186090535.0,481696020.0,6102855.0,4093.0,44407330.0,4099.0,74585835.0,4121.0,92969975.0,3919.0,186090535.0,47972.0,18.0,11.0,485252376.0,92969975.0,16232.0
7,rc5,comedy,1.587899959284934,-0.18310520764989383,0.17368639691183915,-0.18310520764989383,2.5714285714285716,0.2767857142857143,0.01825940714822191,0.06433638960097136,0.23306750636747203,-0.06460337586665062,-0.05802636839054944,-0.16793334387751574,-0.027234862046612074,-0.1391689319876977,-0.1597365673349546,-0.05114369951221317,0.13915593061503814,0.5093538024463031,-0.01602164929655229,0.01691779376090734,-0.2988721429823795,0.18490934883329552,-0.17738349873157966,-0.16019460505466585,-0.024526276921680246,-0.04428630359242525,-0.03153413494833276,0.03924800000817668,-0.0071032581185447195,0.016762351469752582,0.0993793841424582,0.11583231112736327,0.29062912969256205,4,5,Strays,23988885.0,35316418,3427540.0,3223.0,1063,8247810.0,23988885.0,36026155.0,11476230.0,3223.0,18211225.0,3232.0,22045000.0,2486.0,23236435.0,1500.0,23988885.0,11576.0,6.0,4.0,35958110.0,23236435.0,10441.0
8,rc6,comedy,1.3990113000932043,-0.2247543161130674,-0.015202262279890653,-0.22475431611306743,2.310344827586207,0.004310344827586207,-0.07912557387258266,0.009850192213166476,0.021561801697532496,-0.01573424410968901,-0.13113584239273693,-0.0365098638042247,-0.03967900413009593,-0.06770700345867905,-0.09438452731551134,-0.3245432031915877,0.04544433614756108,0.05599335682755309,0.07043122650953618,-0.29493089346409923,-0.004858768470802136,0.07271413827722695,-0.013605335094218613,-0.10973625214823433,-0.04484627403745585,-0.06299755121274982,-0.036444196474067846,-0.0604659461349415,-0.08769729747025225,-0.019533887930494483,0.03336774409538343,0.3057556392438246,0.2588066232582503,6,7,Champions,16271910.0,18852343,1820955.0,3030.0,601,5148740.0,16397335.0,19159065.0,7559905.0,3030.0,12022935.0,3039.0,14251805.0,1917.0,15199130.0,1121.0,16397335.0,9913.0,8.0,3.0,19115227.0,15199130.0,9107.0
9,rc7,comedy,1.4432206508226646,-0.46164362262419184,0.029007088449569448,-0.46164362262419184,2.142857142857143,-0.09821428571428571,0.05273381557784231,0.04273238109052807,0.06254186462092308,-0.06313857954758055,-0.1719742666406646,-0.1152954632483575,0.0038518363606502492,-0.10715895311855668,0.018243797849872227,-0.11929959560255816,-0.1472014418435624,0.0024629525336886037,0.2882068605745191,-0.07038794324682802,0.07368939852654319,0.15180988768873313,-0.2683960211944441,0.13292153427166328,-0.0021843092030293283,-0.07880027955623106,-0.011503266925854069,0.10690571755356469,-0.1619951354282782,0.0696912951106317,0.17260501375443113,0.22094410944477128,0.08249860826513758,7,8,Book Club: The Next Chapter,17556340.0,29068729,2142255.0,3508.0,611,6677580.0,17581565.0,29014267.0,10125220.0,3508.0,15211970.0,3513.0,16876890.0,1339.0,17274770.0,382.0,17581565.0,9079.0,6.0,3.0,29121628.0,17274770.0,8742.0
