,Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Gross_US_M1,Theaters_US_M1
0,rh1,horror,1.380634478477818,0.3665316395003706,-0.03357908389527695,0.3665316395003706,2.6551724137931036,0.34913793103448276,-0.049577584277284384,0.05464765938922872,0.10240871545400823,-0.005544302904340447,-0.07167558301299808,-0.10545087931126443,-0.04771169365917412,-0.030589554345518844,-0.00046350143563253125,-0.30491847599220523,0.08593486091523421,0.24718692322797603,0.1658521260300224,-0.11986814523643022,-0.2143254861382322,-0.032567007029518376,0.03445252434617331,0.11457901661801417,-0.03427786028026631,-0.015872492656429392,-0.0011685550976295834,-0.05721111899723375,0.00017308000832576802,0.049146817902585994,0.110199585612353,0.10415145192816257,0.12068004204466923,30,31,The Exorcist: Believer,54300915.0,107689915,11826255.0,3663.0,3229,26497600.0,65537395.0,136265132.0,33926950.0,3663.0,48601950.0,3684.0,56265830.0,3323.0,61004670.0,2717.0,65537395.0,17512.0,8.0,5.0,136966457.0,61004670.0,13387.0
1,rh10,horror,1.3012758922182628,0.34648974118269843,-0.11293767015483216,0.34648974118269843,1.6666666666666667,-0.5625,-0.02690306756221233,0.035309271862616405,-0.057416575775022405,-0.01948589614628946,-0.018940724716594446,0.11044603047218676,-0.044823902121656996,-0.09471082290957879,-0.07931555880469575,0.03147070851013694,0.21945419629711208,-0.1455562933445191,-0.026803960439759737,0.0006079643512763073,0.30674609518472884,0.24062784304022108,0.12343276059924767,0.05907107948355755,-0.030404288610052926,-0.026114091921185613,-0.008762034702510472,0.08176486370353277,0.11449830708254533,0.07342029377458908,-0.007759552289179922,0.27519799673255413,0.2180852939399893,49,50,The Pope’s Exorcist,20009380.0,72913467,3465715.0,3178.0,1091,9006368.0,20009380.0,76987621.0,11623718.0,3178.0,16251707.0,3178.0,18575816.0,1950.0,19164828.0,606.0,20009380.0,9715.0,11.0,3.0,72913467.0,19164828.0,8912.0
2,rh11,horror,1.3967372696981641,0.5666153387385839,-0.017476292674930803,0.5666153387385839,2.107142857142857,-0.21875,0.023193012103784407,-0.050641564783854516,0.060374249162594776,0.012565878135289818,0.022991796052332085,-0.008344199749997344,0.027019304646317126,0.10826388645216299,0.005355848199454142,0.13747642574857658,-0.16280656719528172,0.18474448700845714,0.1856943682218847,0.23188596892159183,0.12564436772045617,-0.22990545025238,0.0571548032795172,-0.2645565972059853,0.020926064961797077,0.02687137257354686,0.01912863253735052,0.0310884479060271,0.04207806833527574,0.01527741917430934,-0.0016639438043147795,0.1415755788671073,0.23423218670391327,50,51,Men,7587853.0,10287063,1419333.0,2212.0,642,3293030.0,7587853.0,11152071.0,4743092.0,2212.0,6767294.0,2196.0,7424100.0,991.0,7552329.0,216.0,7587853.0,5683.0,5.0,3.0,10287063.0,7552329.0,5615.0
3,rh12,horror,1.3346120706463775,0.48586317859800376,-0.07960149172671738,0.48586317859800376,1.9642857142857142,-0.2767857142857143,0.053442901994934656,-0.001195416013263765,0.0690248846293928,-0.01108329106788645,0.06784373364130238,-0.08740165655104869,0.028295291944079596,0.1632416172536776,0.07102031274353178,0.0877157506361985,-0.07007017355044602,0.107991635935854,-0.10696013279585061,0.16625417305876652,-0.345817605479236,-0.3178981029738722,0.1547238352499504,-0.11469287860664017,0.023551634290375933,0.07662997829390539,0.017547846940625295,-0.11238082837784144,0.08363594491942361,-0.11750628271667406,0.11153002085649115,0.06076704822911599,0.1740588697476806,54,55,Scream,81641405.0,138874789,13383642.0,3664.0,3653,30018805.0,81641405.0,137743924.0,38947929.0,3664.0,54788780.0,3666.0,64209744.0,3518.0,70341632.0,3227.0,81641405.0,22305.0,11.0,6.0,138874789.0,70341632.0,14075.0
4,rh2,horror,1.3763736949432934,0.1983263386307078,-0.037839867429801576,0.19832633863070778,2.413793103448276,0.10775862068965517,0.04643970165052687,0.04573983515152955,0.21641147955652357,-0.011599833022361871,-0.018536998439068936,-0.03449660806124753,-0.033649411395896764,-0.11704769937797528,0.013969088152394327,-0.041618921780531774,-0.09135740456475128,0.47823144362093356,-0.07848765216211938,-0.12781966982593543,-0.16250304036028085,0.11963806661855954,-0.11503256338873179,0.26747073462080007,0.00039681907742275286,-0.02994828755517154,0.0652946532158901,-0.0001561691080305453,-0.11140321259313947,0.19439971262715094,0.09942672191802311,0.20829871665998506,0.1549186902027204,31,32,Saw X,47254428.0,74852798,7965110.0,3262.0,2442,18309301.0,53607898.0,111822387.0,24404793.0,3262.0,35729120.0,3262.0,43649877.0,3058.0,48611927.0,2756.0,53607898.0,16729.0,7.0,5.0,109238490.0,48611927.0,12338.0
5,rh3,horror,1.2928879788654632,0.24370630079419336,-0.12132558350763167,0.24370630079419336,2.2142857142857144,-0.09821428571428571,0.015869738330418895,0.07405259727675939,0.10230853871176035,-0.023523588141190273,-0.10020566065552874,-0.04944907865756265,-0.02365171608237477,-0.07146747909463458,-0.020856498018500112,-0.1114372527809112,0.14395796264621413,0.1560544898053017,0.1185827001407702,-0.1387935848520479,-0.0032751281364374824,0.16320313727475894,-0.020694218716311854,0.2317708784242855,-0.010435188631048701,-0.032540180824467975,0.010667654011899197,0.05678286154487265,-0.005176613640715212,0.12818341336438324,0.0025784996993704562,0.21995745321274154,0.02890797112513176,33,34,Resident Evil: Welcome to Raccoon City,17000612.0,41909091,2505531.0,2803.0,894,5319280.0,17000612.0,41914915.0,3531339.0,2803.0,10518747.0,2803.0,14201944.0,2803.0,16452990.0,2572.0,17000612.0,11149.0,6.0,3.0,41909091.0,16452990.0,10981.0
6,rh4,horror,1.136174248852422,0.3342586727418126,-0.27803931352067285,0.3342586727418126,1.6785714285714286,-0.5625,-0.058468933044009574,-0.0470970179752519,-0.06869494638618052,0.01442633791029227,-0.06284483430310588,-0.028050475260172663,0.02718380642891879,0.11428224880805636,-0.08273448515373232,-0.04804189438247457,0.045794447946494454,-0.0848037979319064,0.0033002836573787853,-0.22294009876651494,-0.03868092442225702,-0.010926738887216477,0.32355354365461325,-0.3271778595211337,-0.005619596234932828,0.0014467988432328505,-0.05982663560002849,-0.01855611653743741,0.04880263094486426,-0.150220860625099,0.028465857158809116,0.20099138976439815,0.21057190017416091,34,35,Insidious: The Red Door ,85301636.0,263401636,15203849.0,3188.0,4769,33013036.0,82156962.0,189086877.0,45085554.0,3188.0,64501673.0,3188.0,74906584.0,2554.0,79530087.0,1914.0,82156962.0,12465.0,10.0,4.0,186258928.0,79530087.0,10844.0
7,rh5,horror,1.1791872323973356,0.15292017122975152,-0.23502632997575926,0.15292017122975152,1.75,-0.49107142857142855,-0.01119151483816847,0.05153472426441565,0.024301882177910718,0.010085046512702617,0.07008942188440452,-0.08808107299691462,-0.06776605909948598,0.002674400553900478,-0.16476254153932213,-0.04025843351552171,0.19008657673263804,0.062231070439144956,0.2188220533133948,0.4180555062714126,-0.13081237428774214,-0.06262323044155763,0.2405995254115218,-0.3200390787195816,-0.022957509141650605,0.041432848900906864,-0.07618057745277536,0.038646796452105156,0.2829138694718575,-0.12954012752272628,0.03101286231870315,-0.04915685584139244,0.09225929067725795,36,37,Talk to Me ,82156962.0,186258928,4197960.0,2340.0,1794,10431720.0,48299436.0,92039206.0,15862780.0,2340.0,26204909.0,2370.0,34208710.0,2379.0,38977888.0,2379.0,48299436.0,14166.0,13.0,6.0,92181818.0,38977888.0,9468.0
8,rh6,horror,1.2669910086192069,0.09810023666481046,-0.14722255375388804,0.09810023666481045,2.0,-0.31473214285714285,0.027085704798450627,-0.001803863587273825,-0.012270743480581936,-0.039835680320624116,-0.022571831417581244,-0.07709409215560073,-0.051168498167718256,-0.05742905356233063,-0.012531394219034347,-0.0393115302517395,-0.10116266071961959,-0.11338457111385604,0.05602629410523062,0.10147743494820638,-0.15422963033826825,0.12965983522476784,0.12055677759612905,0.24211228569863968,-0.021306157896630585,-0.02726824952239524,-0.033965409951739,0.04879153302608632,0.04029051727490528,-0.008500638584494897,0.036230300762917854,-0.17819721864150923,0.03941732698455768,38,39,M3gan,95043350.0,181013217,11726555.0,3509.0,3342,30429860.0,95159005.0,180089109.0,38533510.0,3509.0,63487510.0,3605.0,75903725.0,3628.0,83797375.0,3416.0,95159005.0,22218.0,10.0,6.0,181134416.0,83797375.0,14158.0
9,rh7,horror,1.22483397924825,0.4419575900929768,-0.18937958312484462,0.4419575900929768,1.7407407407407407,-0.49074074074074076,0.027900225112707185,-0.009119081918199762,0.012944586256014844,-0.04923521118500299,0.01654116021191683,-0.12182189984494708,0.0006102796759134626,-0.02022433488223731,0.025306094812255268,0.044287446044044027,-0.004885051450037107,0.08490538156176274,0.13887831342235746,0.41375557154270687,-0.03700738119050413,0.0838487620357924,-0.06180617892477658,0.11730206291685688,-0.006908235465460787,-0.004267418862840076,-0.027857072925558998,0.0890048405007313,0.11568811372263106,0.05506668776270516,0.1463827879547411,0.14942080682121534,0.1298276372231149,39,40,Evil Dead Rise,67233054.0,146017671,10348229.0,3402.0,3042,24504315.0,67233054.0,147033054.0,32216195.0,3402.0,48363822.0,3417.0,56460357.0,3036.0,61730752.0,2821.0,67356372.0,16204.0,8.0,5.0,146140989.0,61730752.0,12676.0
