,Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_whole,AIns_whole,MPFC_whole,NAcc_ind_peaks_pos,AIns_ind_peaks_pos,MPFC_ind_peaks_pos,NAcc_ind_peaks_neg,AIns_ind_peaks_neg,MPFC_ind_peaks_neg,NAcc_trailer_peak_pos,AIns_trailer_peak_pos,MPFC_trailer_peak_pos,NAcc_trailer_peak_pos_yes,AIns_trailer_peak_pos_yes,MPFC_trailer_peak_pos_yes,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_w,AIns_w,MPFC_w,NAcc_f,AIns_f,MPFC_f,NAcc_a,AIns_a,MPFC_a,NAcc_dem_peak_pos,AIns_dem_peak_pos,MPFC_dem_peak_pos,NAcc_dem_peak_neg,AIns_dem_peak_neg,MPFC_dem_peak_neg,NAcc_dem_peak_pos_yes,AIns_dem_peak_pos_yes,MPFC_dem_peak_pos_yes,NAcc_dem_peak_pos_no,AIns_dem_peak_pos_no,MPFC_dem_peak_pos_no,NAcc_avg_peak_pos,AIns_avg_peak_pos,MPFC_avg_peak_pos,NAcc_avg_peak_yes_pos,AIns_avg_peak_yes_pos,MPFC_avg_peak_yes_pos,NAcc_avg_peak_pos2,AIns_avg_peak_pos2,MPFC_avg_peak_pos2,NAcc_avg_peak_yes_pos2,AIns_avg_peak_yes_pos2,MPFC_avg_peak_yes_pos2,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Released_Month,Budget,IMDb_rating,IMDb_vote,Gross_US_M1,Theaters_US_M1
0,rh1,horror,1.2958407706495343,0.3411158694826948,-0.11837279172356063,0.3411158694826948,2.3636363636363638,0.056818181818181816,-0.018560101021827542,0.03529088303604949,0.06563826618180957,0.02406954754048325,-0.011951077602585182,-0.10106552324714378,-0.03775920430635256,-0.007767744857251605,0.0003310469603095146,-0.010749919262565612,0.005190686858737568,-0.0116987367016749,0.33768478828981113,0.3782554584420991,0.5157198362217025,-0.3213370539005751,-0.34016486451254696,-0.564137746070471,0.06518382578522337,0.05976290537538002,0.08077093261620404,0.03245673116180838,0.0001675226649601111,0.05710376548751482,0.33768478828981113,0.3782554584420991,0.5157198362217025,0.029541746073791484,-0.08869962730753343,-0.012233787034583726,0.03156699530324313,0.01545826954445409,-0.04023603655815297,0.002726683892874176,0.030706203886589675,0.005768830630662061,0.01467416030919511,0.07743223270727921,0.03426779364133406,0.005625954884493651,-0.024951412037423914,-0.25657941486320257,0.08642404777135514,0.021367365837965776,0.0958439858038879,0.01467416030919511,0.07743223270727921,0.03426779364133406,0.08642404777135514,0.07743223270727921,0.0958439858038879,0.04394360379909161,0.067671716064192,0.0958439858038879,0.06518382578522336,0.05976290537538003,0.0792870947727747,0.02413233254835029,-0.011337628305641806,0.0792870947727747,0.10595274784897085,0.09376832991065323,0.09747001881517328,30,31,The Exorcist: Believer,54300915.0,107689915,11826255.0,3663.0,3229,26497600.0,65537395.0,136265132.0,33926950.0,3663.0,48601950.0,3684.0,56265830.0,3323.0,61004670.0,2717.0,65537395.0,17512.0,8.0,5.0,136966457.0,10.0,30000000.0,5.0,12000.0,61004670.0,13387.0
1,rh10,horror,1.3149448025431216,0.3111993418684081,-0.09926875982997312,0.3111993418684081,1.7666666666666666,-0.46875,-0.009504038308051058,0.06676319462671747,-0.013381223224769919,0.018163972734600988,0.009935662217564301,0.1118012918212512,-0.0314296360679417,-0.08633903356965957,-0.028122212048572917,-0.007589900547130592,-0.0032133922417925897,0.023432618849302776,0.36447638838136653,0.38422330411553035,0.6847102985194782,-0.3563482500718455,-0.41169554459210017,-0.6617609357832807,0.0235951551598426,0.13136958402104004,0.2278066452308759,0.12760382390908556,0.18200170945346802,0.08762372367941018,0.36447638838136653,0.38422330411553035,0.6847102985194782,0.03717210326781584,0.07061508945190811,-0.07341551892734224,0.008047680964369199,0.08612373862110627,-0.04395400763788415,-0.04381087737779744,0.036207787269523256,-0.1776830708245957,-0.04197589733697217,0.12582473895407612,0.22342742240714966,-0.04197589733697217,-0.13570271450530014,-0.16174376565580614,0.004322469186057448,-0.004082401548891773,-0.02228979601534185,0.04286784113362775,0.12582473895407612,0.22342742240714966,0.04286784113362775,0.18136052492032922,0.2278066452308759,-0.07534253353288113,0.18136052492032922,-0.16174376565580614,0.0235951551598426,0.13136958402104007,0.2278066452308759,0.008320889844703383,0.13136958402104007,0.027059392977426173,-0.07078373214213855,0.2487306825364507,0.1665268856306695,49,50,The Pope’s Exorcist,20009380.0,72913467,3465715.0,3178.0,1091,9006368.0,20009380.0,76987621.0,11623718.0,3178.0,16251707.0,3178.0,18575816.0,1950.0,19164828.0,606.0,20009380.0,9715.0,11.0,3.0,72913467.0,4.0,18000000.0,6.0,20000.0,19164828.0,8912.0
2,rh11,horror,1.434431301935275,0.5988969221035905,0.020217739562180103,0.5988969221035905,2.08,-0.22,0.04197064898195432,0.018304441189980453,0.09230220024019417,0.008460147985200239,-0.005748833171654164,0.027041466520933838,0.013224879516910036,0.06417114755622773,-0.02257113635954095,0.021218558828021535,0.025575585191517994,0.03225751013386234,0.4282165829003378,0.38791674981391433,0.622642503452539,-0.31671000644998404,-0.3215704739847221,-0.5730321137981492,0.1620603759055686,0.10800069104210117,0.2778795385353517,0.24353243400626023,0.21512357172287527,0.5461753666027023,0.4282165829003378,0.38791674981391433,0.622642503452539,-0.004178751401638811,0.047033488308053366,0.034737536975548704,-0.0031224384189249554,0.004441838384036092,2.7829794203726165e-05,0.06378318233325588,0.0716149502662715,-0.14253933597102175,0.07912580316336316,0.10493530147800982,0.1924829610478152,0.002871066445271298,-0.06963512682082298,-0.08410852606290002,0.07912580316336316,0.10493530147800982,0.22097168316383367,0.1620603759055686,0.055522150465904335,0.1924829610478152,0.1620603759055686,0.12737907853787372,0.2778795385353517,0.1620603759055686,0.08862230354632862,0.2778795385353517,0.1620603759055686,0.10800069104210115,0.2778795385353517,0.1620603759055686,0.053243363543203276,0.2778795385353517,-0.02943696313090844,0.017971865079274202,0.3157342790637296,50,51,Men,7587853.0,10287063,1419333.0,2212.0,642,3293030.0,7587853.0,11152071.0,4743092.0,2212.0,6767294.0,2196.0,7424100.0,991.0,7552329.0,216.0,7587853.0,5683.0,5.0,3.0,10287063.0,5.0,7600000.0,6.0,18000.0,7552329.0,5615.0
3,rh12,horror,1.3788890686310025,0.4767054996578117,-0.03532449374209252,0.4767054996578117,2.037037037037037,-0.22453703703703703,0.046247816210227256,0.006661455859183529,0.03866791762127071,-0.011057009048412659,0.02233005726441062,-0.1113424990944767,-0.013667753459151596,0.09404900327912798,0.04937514218005624,0.007174351234220988,0.04101350546757405,-0.007766479764383254,0.38064694502547536,0.4112056530272208,0.5952343688343036,-0.35559793815865987,-0.3119297026351877,-0.5434787329870233,0.07859477848633156,0.18466834708502838,0.18615031012395883,0.12108862897195916,0.2554118552147375,0.14890685007037735,0.38064694502547536,0.4112056530272208,0.5952343688343036,0.04578209725973563,0.06595409698367274,0.01286255760052523,-0.03964295422576867,-0.013052062243918314,-0.0873822486995998,0.10879930275731055,0.012270467718855272,0.21754663092910723,0.016293076460798354,0.22998140451582144,0.14929570479281548,-0.11650153598880542,-0.07983101241990916,-0.17663616906256785,0.05897981440264962,-0.009764266279222951,0.15464526561650588,0.06101924150078136,0.22998140451582144,0.14929570479281548,0.05897981440264962,0.22998140451582144,0.22300491545510215,0.05897981440264962,0.12972494087221395,0.14929570479281548,0.03614595772572261,0.18466834708502836,0.18615031012395883,0.03614595772572261,0.07583148647888917,0.14929570479281548,0.027568429897122274,0.09928714257017174,0.16160666622295428,54,55,Scream,81641405.0,138874789,13383642.0,3664.0,3653,30018805.0,81641405.0,137743924.0,38947929.0,3664.0,54788780.0,3666.0,64209744.0,3518.0,70341632.0,3227.0,81641405.0,22305.0,11.0,6.0,138874789.0,1.0,24000000.0,7.0,51000.0,70341632.0,14075.0
4,rh2,horror,1.3620624776152983,0.1718756489036389,-0.05215108475779647,0.17187564890363888,2.2857142857142856,-0.008928571428571428,0.05115278364230173,0.012197506801129975,0.19046025684575404,-0.007523665346963372,0.0031654628571916076,-0.026400585518392312,-0.03480203188399867,-0.06915112786636839,0.0310298487256918,0.002942362137113227,-0.017929386069348945,0.06502984001768446,0.3755677130405862,0.3690402130478511,0.6293007417045597,-0.35862203296143214,-0.37913326164019073,-0.49631910621492087,0.10689326658977974,0.05436463965755714,0.20972406620801937,0.12618716908049044,0.0033461371063309812,0.17558950309042468,0.3755677130405862,0.3690402130478511,0.6293007417045597,-0.02557716885716854,-0.03170754317841563,-0.04590374467153125,0.009393502686995679,0.09229430175380904,-0.002199906103344769,0.02613618878634138,0.009106196178040768,-0.10719763918428246,0.14280055374808623,0.09764671597266783,0.21379375806343395,0.01378426724542601,-0.029900043074272915,-0.1416251483401083,0.01378426724542601,0.09764671597266783,0.305099495091243,0.14280055374808623,0.09764671597266783,0.21379375806343395,0.14280055374808623,0.09764671597266783,0.305099495091243,0.14280055374808623,0.09764671597266783,0.305099495091243,0.10689326658977971,0.05436463965755713,0.20972406620801934,0.10689326658977971,0.05436463965755713,0.20972406620801934,0.1292007703416517,0.21674935388672342,0.17131638643915656,31,32,Saw X,47254428.0,74852798,7965110.0,3262.0,2442,18309301.0,53607898.0,111822387.0,24404793.0,3262.0,35729120.0,3262.0,43649877.0,3058.0,48611927.0,2756.0,53607898.0,16729.0,7.0,5.0,109238490.0,9.0,13000000.0,7.0,16000.0,48611927.0,12338.0
5,rh3,horror,1.3167534187556544,0.3175369619810901,-0.09746014361744049,0.3175369619810901,2.259259259259259,-0.0787037037037037,0.029449655339159754,0.08198731909316448,0.09342998418100022,0.009562270975495835,-0.04999223142349508,-0.028280447090159713,-0.02138059549791198,-0.026822595420335788,0.01849002008359151,0.005877110272247859,0.00172416408311121,0.02787985239147733,0.36069398655173557,0.3722782253004348,0.566412123489475,-0.32230740270393443,-0.3853620705531012,-0.49793004901831023,0.07935712661926878,0.13061577840024277,0.18104998919510737,0.10859960653477045,0.13539154387027766,0.1771253821266636,0.36069398655173557,0.3722782253004348,0.566412123489475,-0.049990299987963685,0.021114001854222655,-0.011659711495875233,0.029257164603769637,0.03419805497871817,-0.030431896536559606,-0.030514202890042967,0.0421121693903871,-0.16408788028413016,0.06153370865568552,0.132355851740822,0.18104998919510737,-0.08659410360215541,-0.03081571140263992,-0.017618561063593382,0.0498833201999317,0.12887570505966353,0.18104998919510737,-0.005074306615742826,0.132355851740822,0.18104998919510737,0.106667728568192,0.132355851740822,0.18104998919510737,0.106667728568192,0.132355851740822,0.18104998919510737,0.07935712661926878,0.13061577840024277,0.18104998919510737,0.07935712661926878,0.13061577840024277,0.18104998919510737,0.014069972593440014,0.17316563873684276,0.019436085646262164,33,34,Resident Evil: Welcome to Raccoon City,17000612.0,41909091,2505531.0,2803.0,894,5319280.0,17000612.0,41914915.0,3531339.0,2803.0,10518747.0,2803.0,14201944.0,2803.0,16452990.0,2572.0,17000612.0,11149.0,6.0,3.0,41909091.0,11.0,25000000.0,5.0,15000.0,16452990.0,10981.0
6,rh4,horror,1.1377926463358443,0.3306038144800063,-0.27642091603725066,0.3306038144800063,1.7037037037037037,-0.48842592592592593,-0.03155481229515571,0.020022823130642988,-0.054489816666277675,0.005882471814930181,-0.026138911495249415,-0.0021510664919992643,-0.042375892627879164,0.03173178534075241,-0.10734485218842031,-0.022682744369368228,0.008538565658715325,-0.054661911782232404,0.28065335894845017,0.41569860085459825,0.5804974954593353,-0.33211888586716387,-0.41174194702092054,-0.6310293954185235,0.004739173324939446,0.11740953972455172,0.08977001718834911,0.03132409683404555,0.08290719071808278,0.16678909552673274,0.28065335894845017,0.41569860085459825,0.5804974954593353,-0.0960289195328265,0.03133804015398248,-0.04093666868331143,-0.06288139729971487,0.02590150828944883,-0.17257328699099622,0.03661400102169491,0.043657421570687936,0.011273838166293746,0.06991556702664586,0.06907890753907248,0.13057613077382535,-0.06324148339713158,0.055335596911095936,0.13057613077382535,-0.06324148339713158,0.11740953972455172,0.13057613077382535,0.027592608268411277,0.06907890753907248,0.13057613077382535,0.06991556702664586,0.11740953972455172,0.13057613077382535,-0.04004883389327514,0.06597486936090638,-0.06301954800125265,0.004739173324939428,0.1264829461432711,0.08977001718834911,-0.033762101202059545,0.09478734163872136,-0.03403905318167514,-0.022715058846525853,0.22803537523861075,0.19057433952794745,34,35,Insidious: The Red Door ,85301636.0,263401636,15203849.0,3188.0,4769,33013036.0,82156962.0,189086877.0,45085554.0,3188.0,64501673.0,3188.0,74906584.0,2554.0,79530087.0,1914.0,82156962.0,12465.0,10.0,4.0,186258928.0,7.0,16000000.0,6.0,13000.0,79530087.0,10844.0
7,rh5,horror,1.2299203541577552,0.16524561858504072,-0.18429320821533957,0.16524561858504072,1.8620689655172413,-0.38362068965517243,-0.014819507477567363,0.04752161304581717,-0.02106842665833147,0.008408185296411663,0.029935963103967327,-0.08931424263806696,-0.05823170433509553,0.0019627789821570984,-0.10945466418999865,-0.02154767550541707,0.02647345171064719,-0.07327911116213236,0.34505080071718314,0.37623557594422685,0.5020736491211323,-0.3355917413488335,-0.35754628714408193,-0.6619770061261318,0.024438838933269785,0.07530440613823162,-0.02590446759008298,0.12182182035032933,0.19103772268887154,0.04043459206847105,0.34505080071718314,0.37623557594422685,0.5020736491211323,0.009161392432027888,0.027252626300235193,0.038221941054564994,-0.0319888463795887,0.033312830339704017,-0.1663810547187612,-0.019283189377282274,0.04045788880667177,0.007898839704051388,-0.032214414244344895,0.0982925154333301,-0.014009932528709653,-0.04215619520783845,-0.015743674601266328,-0.09814189059240853,-0.032214414244344895,-0.015743674601266328,-0.04640199861830632,0.06278214711694163,0.0982925154333301,-0.014009932528709653,0.05731012081440015,0.0982925154333301,0.027224171712441285,0.01491530138659064,0.08407629887877847,0.014408926076600359,0.05731012081440015,0.07530440613823162,-0.025904467590082986,0.03611271110049539,0.08407629887877847,0.007941855161543495,0.02745185264151548,-0.06728870401382439,0.02415656682212001,36,37,Talk to Me ,82156962.0,186258928,4197960.0,2340.0,1794,10431720.0,48299436.0,92039206.0,15862780.0,2340.0,26204909.0,2370.0,34208710.0,2379.0,38977888.0,2379.0,48299436.0,14166.0,13.0,6.0,92181818.0,7.0,4500000.0,7.0,34000.0,38977888.0,9468.0
8,rh6,horror,1.2736593809769758,0.09854763759760278,-0.14055418139611905,0.09854763759760278,1.962962962962963,-0.3125,0.03751873643271103,0.05239933416937769,0.04965489049471118,-0.01662819526789994,0.010082731223482251,-0.04870003797077017,-0.06947849092835431,-0.05083510303473918,0.025463205624609287,-0.016195983254514393,0.0038823207860402445,0.008806019382850092,0.35865743833256547,0.3477832819054187,0.6119133259427608,-0.3825763175441763,-0.35712724918204275,-0.5240174373733618,0.09716334207601574,0.07838238705628375,0.11659203823035463,0.19143146710417838,0.13304223643025093,0.13460357607157206,0.35865743833256547,0.3477832819054187,0.6119133259427608,0.11210783227460269,0.09414972560927178,-0.01810274675639201,0.06548973212848207,0.03560993905997833,-0.0040827366373843675,-0.04423902027696505,-0.007318148953582486,-0.23889607514106823,0.11082633974125794,0.023400885809771003,0.11852564032711212,-0.16482427907598649,-0.09862344411782399,-0.055821091774061624,0.11082633974125794,0.00045099591093948876,0.046408836717716125,0.11082633974125794,0.045701160427144095,0.11852564032711212,0.11082633974125794,0.08649646226072993,0.19868771943807062,0.08025264003202438,0.06964148869154184,0.010651873245020428,0.09716334207601572,0.02976536815358848,0.11659203823035463,0.09553948988664117,0.05767132455934298,-0.05404462903736335,0.061865573934236764,-0.13455669797364594,0.07242876350426801,38,39,M3gan,95043350.0,181013217,11726555.0,3509.0,3342,30429860.0,95159005.0,180089109.0,38533510.0,3509.0,63487510.0,3605.0,75903725.0,3628.0,83797375.0,3416.0,95159005.0,22218.0,10.0,6.0,181134416.0,1.0,12000000.0,7.0,47000.0,83797375.0,14158.0
9,rh7,horror,1.2410011013394917,0.45087350290842604,-0.1732124610336032,0.45087350290842604,1.7916666666666667,-0.4166666666666667,0.05105064884882295,0.05804603183414772,0.11377535159870973,-0.047288773582411896,-0.01819085188869207,-0.08973975416090015,-0.002024591477066433,-0.04253609167332382,0.00814791627229614,0.0005790945964482163,-0.0008936372426227336,0.010727837903368587,0.376337615976982,0.39828733473373185,0.6149608057441357,-0.3818651271700875,-0.33796267170977695,-0.5867322003043952,0.044681083580100485,0.08340858941883864,0.23894115833389282,-0.019543387362878903,-0.1021121592342271,0.3105499692323868,0.376337615976982,0.39828733473373185,0.6149608057441357,-0.03791475227614987,0.0812261102703387,0.07650144479193784,0.029222593422952577,-0.02417547865669449,-0.1548486241399797,0.020648399248326708,0.04711913675028794,-0.05721601469220322,0.024929246627044228,0.07453319466843962,0.23135090416434448,0.013556364850780997,-0.008257757790951226,-0.21130605466772315,-0.02697810378829973,-0.07520176019571921,0.23135090416434448,0.08654376036542112,0.07453319466843962,0.1962426269460907,-0.0056122736319234754,0.09657139045910397,0.23894115833389282,-0.0056122736319234754,-0.07338659744525877,0.23894115833389282,0.051795390054680646,0.08340858941883865,0.23894115833389282,0.051795390054680646,-0.0012177964606286396,0.23894115833389282,0.11466490685655018,0.1385922415949156,0.1589479340065361,39,40,Evil Dead Rise,67233054.0,146017671,10348229.0,3402.0,3042,24504315.0,67233054.0,147033054.0,32216195.0,3402.0,48363822.0,3417.0,56460357.0,3036.0,61730752.0,2821.0,67356372.0,16204.0,8.0,5.0,146140989.0,4.0,12000000.0,7.0,39000.0,61730752.0,12676.0
