Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Gross_US_M1,Theaters_US_M1,GrossOverTheaters_W1,GrossOverTheaters_M1,Broad_rank_W1,Broad_rank_M1,Narrow_rank_W1,Narrow_rank_M1
rc1,comedy,1.7786938109073671,-0.3201903238827873,0.3644802485342724,-0.3201903238827873,3.107142857142857,0.8660714285714286,0.0296111424279163,-0.1167813341883428,-0.1005039238154251,-0.034784071983349,-0.0836235830155219,-0.1059586657377893,0.0148754523541,-0.0362260446598906,-0.0152168834016743,0.2949187243668978,-0.1878853019673457,-0.0923400904368006,-0.136681588221156,-0.2903322692753739,-0.3215092967294126,0.1396768702602882,-0.0296139694305658,0.1099752781328192,0.0032341742662224,-0.0788769872879184,-0.0738931576516295,0.0993046688020099,-0.1692771802244285,-0.1012913696777979,0.1997716501180899,0.0831926225315958,0.1132249367147929,0,1,Joy Ride,12897789.0,15518636,2611969.0,2820.0,926.0,5806277.0,12897789.0,15787674.0,8041997.0,2820.0,12168180.0,2820.0,12759173.0,335.0,12897789.0,66.0,12897789.0,6041.0,4.0,2.0,15518636.0,12897789.0,6041.0,2851.771985815603,2135.042046018871,8.0,10.0,6.0,7.0
rc10,comedy,1.54384706577366,-0.3049389794009381,0.1296335034005651,-0.3049389794009381,2.4814814814814814,0.2291666666666666,-0.0463734491478798,-0.1157097310854226,0.0071216240227703,0.0385602742989157,-0.031083765776269,0.0161505656464734,-0.0162995483373651,-0.0537757791861321,0.038555042865087,-0.063679184735683,-0.3053295902124072,0.0840023806137586,-0.0247476354144364,-0.2674254749055884,-0.1342210947052324,-0.1341505764882429,-0.2262075530891606,-0.0234328890063552,-0.008037574395443,-0.0668564253492745,0.0206090775114436,-0.0741924655461208,-0.2663208727357187,-0.0245505343659429,0.02505577915429,0.0768476119514367,0.0770922111388409,16,17,Easter Sunday,13013690.0,13021859,2033045.0,3175.0,640.0,5447130.0,13013690.0,13074255.0,7559570.0,3175.0,10948610.0,3176.0,12225220.0,1574.0,12660865.0,553.0,13013690.0,9026.0,7.0,3.0,13021859.0,12660865.0,8478.0,2380.9669291338582,1493.3787449870251,5.0,3.0,3.0,2.0
rc11,comedy,1.4458931555616457,-0.3527910076953002,0.0316795931885506,-0.3527910076953002,2.034482758620689,-0.271551724137931,0.0334426588248959,0.0758716356287732,0.1836343644017734,-0.0269412894829602,-0.0994558586881393,0.0147572228122068,0.0058955508361862,-0.1259123608525784,-0.0300345310460821,-0.1425815404430884,-0.036306750227745,0.3173889076384956,-0.2140860097689617,-0.3873734627013502,-0.0252092669471541,0.2907933348719365,-0.1891073720423583,0.1342995900321282,0.0041323067260406,-0.0498321946373148,0.0561190187226327,-0.0219580717800379,-0.2042625283238178,0.1421597435744898,-0.0624402267640964,0.1585741275080312,-0.0168392213570705,25,26,My Big Fat Greej Wedding 3,28426750.0,38017696,3706845.0,3650.0,1016.0,10028675.0,28496030.0,38829246.0,13871615.0,3650.0,20803230.0,3678.0,25208780.0,3078.0,26897765.0,1474.0,28496030.0,13576.0,7.0,4.0,39126983.0,26897765.0,11880.0,3800.4424657534246,2264.121632996633,14.0,14.0,9.0,9.0
rc12,comedy,1.3219891261463348,-0.270340652349132,-0.0922244362267601,-0.270340652349132,1.8571428571428568,-0.46875,-0.0989483364391834,-0.1052183477717839,-0.0522711717839583,-0.0330263008845687,-0.088062154744094,0.0696102655780223,0.0273364739959213,-0.1065602185654558,0.0902445721777522,-0.2023773003923375,-0.2405147453735653,-0.0696500748272779,0.1589047826698383,0.0136892126287023,0.4101996129984937,0.1280852179180409,-0.349793952041097,0.2505169091036535,-0.0348793877759435,-0.0999469070271113,0.0358612219906054,0.0282042333985138,-0.1922064949286533,0.197022149091623,-0.1858736450664007,-0.0339941508343465,0.0521361309772648,26,27,About My Father,12089391.0,17655276,1464923.0,2464.0,595.0,4321148.0,12089391.0,18167819.0,6724093.0,2464.0,9916809.0,2464.0,11226509.0,960.0,11681574.0,273.0,12089391.0,6570.0,7.0,3.0,17657217.0,11681574.0,6161.0,2728.9338474025976,1896.0516149975654,7.0,7.0,5.0,4.0
rc2,comedy,1.3282902909532253,-0.2684510276387122,-0.0859232714198695,-0.2684510276387123,1.896551724137931,-0.4094827586206896,-0.0141340765766399,-0.0708173474705541,0.0589272998342046,-0.0634779195514679,-0.1427741239007609,-0.1110437912786563,-0.0329897514853816,-0.0445819902653389,-0.0421358611165059,0.0244196820355114,-0.2323182460893047,0.1672010611173197,-0.0309869817223907,-0.2289378113438417,-0.1510275588371743,-0.1759538734259467,-0.2082916424754295,-0.1377051366462749,-0.0368672492044965,-0.0860578205455513,-0.0314174508536525,-0.0608403910376087,-0.223182566636192,-0.0405105447887098,-0.0383122134971072,0.1329818254545809,0.1551844326192264,1,2,80 For Brady,39330588.0,40266090,4625369.0,3912.0,1182.0,12701640.0,39330588.0,12701640.0,18969658.0,3912.0,28647811.0,3939.0,34617281.0,3119.0,37473383.0,2397.0,39448525.0,15397.0,7.0,4.0,40384027.0,37473383.0,13367.0,4849.094580777096,2803.4250766813793,16.0,15.0,11.0,10.0
rc3,comedy,1.523301712378864,-0.3249375678524981,0.1090881500057692,-0.3249375678524981,2.740740740740741,0.4953703703703703,0.0493525150576046,0.0666830728648465,0.0265700982738714,-0.0573430258460722,-0.1115144775743353,-0.0409233646724207,-0.0442225498303819,-0.0593670799440067,-0.2089662587007417,-0.1348865041960466,-0.0714069301382029,-0.1715713045876218,0.1206078278953083,-0.0984102986774846,0.1496747599477091,0.1428341855627879,0.0561840111622804,-0.40265369582172,-0.0174043535396164,-0.0347328282178318,-0.0744398416997636,0.0428518364206832,-0.0378777392178023,-0.1415167468205442,-0.0159977014410594,0.0844688088984603,0.1795879786573913,2,3,A Man Called Otto,64267657.0,108641148,1555761.0,637.0,2442.0,56257.0,64267657.0,113190218.0,85480.0,4.0,6223126.0,637.0,26346249.0,3802.0,39302864.0,3802.0,64267657.0,24008.0,15.0,6.0,108641148.0,39302864.0,8245.0,21370.0,4766.8725288053365,28.0,22.0,15.0,13.0
rc4,comedy,1.825152691396953,-0.3690214638912808,0.4109391290238586,-0.3690214638912808,3.25,1.0089285714285714,-0.0002165491413546,-0.0050306319238808,0.1217841255105296,-0.0449868083291791,-0.0865112048861203,0.0188541276567418,-0.0368016948530298,-0.1163682667117091,-0.2038233377195445,-0.061893101352214,-0.0753924072442733,0.3236763077646379,-0.0110948769253439,-0.1447314769712399,0.2080501141816515,0.2819826900001651,0.0193611551017126,-0.1594556766269583,-0.0273350174411878,-0.06930336784057,-0.0210616948507576,0.0696649039075357,-0.0669209097046002,0.124090248439777,0.0284098481633485,0.0570471153912274,0.1927416787608987,3,4,Puss in Boots: The Last Wish,185535345.0,484643149,3200250.0,4099.0,781.0,12429515.0,186090535.0,481696020.0,6102855.0,4093.0,44407330.0,4099.0,74585835.0,4121.0,92969975.0,3919.0,186090535.0,47972.0,18.0,11.0,485252376.0,92969975.0,16232.0,1491.0469093574395,5727.573620009857,2.0,25.0,1.0,14.0
rc5,comedy,1.587899959284934,-0.1831052076498938,0.1736863969118391,-0.1831052076498938,2.571428571428572,0.2767857142857143,0.0182594071482219,0.0643363896009713,0.233067506367472,-0.0646033758666506,-0.0580263683905494,-0.1679333438775157,-0.027234862046612,-0.1391689319876977,-0.1597365673349546,-0.0511436995122131,0.1391559306150381,0.5093538024463031,-0.0160216492965522,0.0169177937609073,-0.2988721429823795,0.1849093488332955,-0.1773834987315796,-0.1601946050546658,-0.0245262769216802,-0.0442863035924252,-0.0315341349483327,0.0392480000081766,-0.0071032581185447,0.0167623514697525,0.0993793841424582,0.1158323111273632,0.290629129692562,4,5,Strays,23988885.0,35316418,3427540.0,3223.0,1063.0,8247810.0,23988885.0,36026155.0,11476230.0,3223.0,18211225.0,3232.0,22045000.0,2486.0,23236435.0,1500.0,23988885.0,11576.0,6.0,4.0,35958110.0,23236435.0,10441.0,3560.729134346882,2225.4989943492,12.0,13.0,8.0,8.0
rc6,comedy,1.3990113000932043,-0.2247543161130674,-0.0152022622798906,-0.2247543161130674,2.310344827586207,0.0043103448275862,-0.0791255738725826,0.0098501922131664,0.0215618016975324,-0.015734244109689,-0.1311358423927369,-0.0365098638042247,-0.0396790041300959,-0.067707003458679,-0.0943845273155113,-0.3245432031915877,0.045444336147561,0.055993356827553,0.0704312265095361,-0.2949308934640992,-0.0048587684708021,0.0727141382772269,-0.0136053350942186,-0.1097362521482343,-0.0448462740374558,-0.0629975512127498,-0.0364441964740678,-0.0604659461349415,-0.0876972974702522,-0.0195338879304944,0.0333677440953834,0.3057556392438246,0.2588066232582503,6,7,Champions,16271910.0,18852343,1820955.0,3030.0,601.0,5148740.0,16397335.0,19159065.0,7559905.0,3030.0,12022935.0,3039.0,14251805.0,1917.0,15199130.0,1121.0,16397335.0,9913.0,8.0,3.0,19115227.0,15199130.0,9107.0,2495.0181518151817,1668.9502580432634,6.0,5.0,4.0,3.0
rc7,comedy,1.4432206508226646,-0.4616436226241918,0.0290070884495694,-0.4616436226241918,2.142857142857143,-0.0982142857142857,0.0527338155778423,0.042732381090528,0.062541864620923,-0.0631385795475805,-0.1719742666406646,-0.1152954632483575,0.0038518363606502,-0.1071589531185566,0.0182437978498722,-0.1192995956025581,-0.1472014418435624,0.0024629525336886,0.2882068605745191,-0.070387943246828,0.0736893985265431,0.1518098876887331,-0.2683960211944441,0.1329215342716632,-0.0021843092030293,-0.078800279556231,-0.011503266925854,0.1069057175535646,-0.1619951354282782,0.0696912951106317,0.1726050137544311,0.2209441094447712,0.0824986082651375,7,8,Book Club: The Next Chapter,17556340.0,29068729,2142255.0,3508.0,611.0,6677580.0,17581565.0,29014267.0,10125220.0,3508.0,15211970.0,3513.0,16876890.0,1339.0,17274770.0,382.0,17581565.0,9079.0,6.0,3.0,29121628.0,17274770.0,8742.0,2886.322690992018,1976.066117593228,9.0,8.0,7.0,5.0
rc8,comedy,1.4116638799808725,-0.2752325269650182,-0.0025496823922226,-0.2752325269650182,2.2857142857142856,0.0446428571428571,-0.0121737514303904,-0.0437989203985043,0.0457423878585126,-0.0041685335346141,-0.0436610477431993,0.0218795755552004,0.0427339989177127,0.0456128339853081,0.0277739426947091,-0.2572713977938236,-0.390249953554344,-0.0642033455040704,-0.0824734377271673,-0.1783278092450652,0.037111992256276,-0.2417934185074568,-0.2140948640381009,-0.2387961556445306,0.008797237984236,-0.0139490447187985,0.031798635369474,-0.1938460846761492,-0.2608908756125033,-0.0886291696307749,0.0686706232604425,0.0979821874821345,0.1247857925478034,10,11,No Hard Feelings,50452282.0,83453541,6352471.0,3208.0,1980.0,15002770.0,50452282.0,87256407.0,21802364.0,3208.0,35162492.0,3208.0,43290171.0,2686.0,48135693.0,2053.0,50452282.0,12597.0,7.0,4.0,83453541.0,48135693.0,11155.0,6796.248129675811,4315.167458538772,19.0,20.0,12.0,12.0
