,Trailer,Type,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score,W_score_scaled,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,NAcc_whole,AIns_whole,MPFC_whole,NAcc_ind_peaks_pos,AIns_ind_peaks_pos,MPFC_ind_peaks_pos,NAcc_ind_peaks_neg,AIns_ind_peaks_neg,MPFC_ind_peaks_neg,NAcc_trailer_peak_pos,AIns_trailer_peak_pos,MPFC_trailer_peak_pos,NAcc_trailer_peak_pos_yes,AIns_trailer_peak_pos_yes,MPFC_trailer_peak_pos_yes,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_w,AIns_w,MPFC_w,NAcc_f,AIns_f,MPFC_f,NAcc_a,AIns_a,MPFC_a,NAcc_dem_peak_pos,AIns_dem_peak_pos,MPFC_dem_peak_pos,NAcc_dem_peak_neg,AIns_dem_peak_neg,MPFC_dem_peak_neg,NAcc_dem_peak_pos_yes,AIns_dem_peak_pos_yes,MPFC_dem_peak_pos_yes,NAcc_dem_peak_pos_no,AIns_dem_peak_pos_no,MPFC_dem_peak_pos_no,NAcc_avg_peak_pos,AIns_avg_peak_pos,MPFC_avg_peak_pos,NAcc_avg_peak_yes_pos,AIns_avg_peak_yes_pos,MPFC_avg_peak_yes_pos,NAcc_avg_peak_pos2,AIns_avg_peak_pos2,MPFC_avg_peak_pos2,NAcc_avg_peak_yes_pos2,AIns_avg_peak_yes_pos2,MPFC_avg_peak_yes_pos2,NAcc_ISC,AIns_ISC,MPFC_ISC,index,number,title,Domestic Gross,Worldwide Gross,Domestic Openning,Theaters Num,Avg Domestic Opening,Openning_US_C_IMDb,Gross_US_C_IMDb,Gross_W_IMDb,Gross_US_W1_num,Theaters_US_W1_num,Gross_US_W2_num,Theaters_US_W2_num,Gross_US_W3_num,Theaters_US_W3_num,Gross_US_W4_num,Theaters_US_W4_num,Gross_Total_US,Total_Theaters_US,Total_weeks,Weeks_avg_per_theater,Gross_World_num,Released_Month,Budget,IMDb_rating,IMDb_vote,Gross_US_M1,Theaters_US_M1
0,rh1,horror,1.329315366655584,0.20815629730580315,-0.08489819571751114,0.20815629730580315,3.3333333333333335,0.8263888888888888,-0.057192648400205326,0.0169191926919756,-0.0057597272447818225,0.013370990378530246,-0.007575303910914478,-0.04113485979256667,0.007612989143985767,0.024230412091771847,-0.007900731236554633,-0.0120695562925631,0.011191433624277655,-0.01826510609130106,0.34926302510553686,0.3876879753433695,0.5342561097309505,-0.3176787838985058,-0.3187211902367701,-0.44531349294329153,0.06041878023343462,0.028292921940202127,0.06797788680419968,0.1004914217590983,0.08804598592884633,0.14651631850200672,0.34926302510553686,0.3876879753433695,0.5342561097309505,0.04513954804213321,-0.11469113132024633,0.056822788435113764,0.06051768324502828,0.006344855681405225,-0.03421746883477919,0.024209642558735256,0.06508238968880532,-0.10414092728746809,-0.019853119460551707,0.005259121188932113,-0.0012447153156790087,-0.025888571473803617,0.029098274955372087,-0.04185159713392936,0.10800886898101109,-0.00860645422271014,0.07677239448119087,-0.019853119460551707,0.005259121188932113,-0.0012447153156790087,0.10800886898101109,0.005259121188932113,0.07677239448119087,0.012828691485858147,0.11349183163417509,0.07677239448119087,0.06041878023343461,0.02329156803773576,0.01854210835680241,-0.028854511730225598,0.034769898910010956,0.01854210835680241,0.014439591275533395,0.0810185033242643,0.003375104569316436,30,31,The Exorcist: Believer,54300915.0,107689915,11826255.0,3663.0,3229,26497600.0,65537395.0,136265132.0,33926950.0,3663.0,48601950.0,3684.0,56265830.0,3323.0,61004670.0,2717.0,65537395.0,17512.0,8.0,5.0,136966457.0,10.0,30000000.0,5.0,12000.0,61004670.0,13387.0
1,rh10,horror,1.3208144588676507,0.20286798880682605,-0.09339910350544432,0.20286798880682605,2.3333333333333335,-0.10416666666666667,-0.025742261508593847,0.059596858419532744,-0.0405861499398233,0.0282157179054156,0.00818935945292628,0.05573288545006759,-0.007959758941482856,-0.046549736722525485,0.060257789248252744,-0.0018287675148870525,0.007078827049977867,0.025134841586165666,0.37245737495459924,0.3975129740171648,0.6947357984798327,-0.3695749075974694,-0.4368942243693157,-0.6320095863019772,0.02780151557423677,0.11557562312294245,0.2287839112936033,0.0959820856854271,0.22467542436863605,0.0009274400449257314,0.37245737495459924,0.3975129740171648,0.6947357984798327,0.05907069876460129,0.09008785800779157,-0.06564154726668756,0.02298060255743206,0.10630819872934474,-0.033679211770611145,-0.10116950572640089,0.04346421219505971,-0.25296261830437144,-0.023561948072211025,0.124397284848764,0.1676038492497249,-0.023561948072211025,-0.10811528274408568,-0.10055321499708932,0.014292965855487555,0.0401101503411843,-0.0957872973662152,0.04301540417482373,0.124397284848764,0.1676038492497249,0.04301540417482373,0.18805801336066408,0.2287839112936033,-0.025975086138653826,0.18805801336066408,-0.10055321499708932,0.028654185015155646,0.11557562312294246,0.2287839112936033,0.05747403813966159,0.11557562312294246,0.05941111964177719,-0.047916637283403514,0.21553512274187636,0.1075162221667704,49,50,The Pope’s Exorcist,20009380.0,72913467,3465715.0,3178.0,1091,9006368.0,20009380.0,76987621.0,11623718.0,3178.0,16251707.0,3178.0,18575816.0,1950.0,19164828.0,606.0,20009380.0,9715.0,11.0,3.0,72913467.0,4.0,18000000.0,6.0,20000.0,19164828.0,8912.0
2,rh11,horror,1.3786684603736505,0.4242012059986923,-0.03554510199944432,0.4242012059986923,2.8333333333333335,0.3125,0.05571604491475455,0.022105530394272557,0.10772163512157192,-0.00032450622701504897,-0.010242098816955333,0.002183286784614713,-0.02015653784195209,0.0521656713120578,0.011073918519055245,0.011745000281929166,0.021343034296458327,0.040326280141747266,0.41114584577043134,0.40536776742531,0.7002411433786593,-0.30805509455273156,-0.3452620660005303,-0.5476717986353762,0.23755042344378616,0.21953952302355648,0.35435086551258116,0.24290877328376145,0.1741051815250181,0.27164556492011177,0.41114584577043134,0.40536776742531,0.7002411433786593,0.04609446529900544,0.01059189180857189,-0.009919587900321075,0.0849819726036446,0.029922824358655776,0.02534837119508385,0.07454399221438017,0.12615609727052327,-0.1744591304141808,0.1282827954553387,0.21953952302355648,0.10998530173554792,-0.0157851419135183,-0.007197164826029358,-0.0122531319463449,0.1282827954553387,0.21953952302355648,0.34797435286943174,0.23755042344378616,0.017508139761770385,0.10998530173554792,0.23755042344378616,0.12676431088611192,0.35435086551258116,0.23755042344378616,0.09124315719027602,0.35435086551258116,0.23755042344378616,0.10900373403819397,0.35435086551258116,0.23755042344378616,0.04363934497098213,0.35435086551258116,-0.06144959153305383,0.05544655237460667,0.276229309439987,50,51,Men,7587853.0,10287063,1419333.0,2212.0,642,3293030.0,7587853.0,11152071.0,4743092.0,2212.0,6767294.0,2196.0,7424100.0,991.0,7552329.0,216.0,7587853.0,5683.0,5.0,3.0,10287063.0,5.0,7600000.0,6.0,18000.0,7552329.0,5615.0
3,rh12,horror,1.4700484479398064,0.3531128374171191,0.055834885566711345,0.3531128374171191,3.0,0.453125,0.04151119042292981,0.023203696353243788,-0.0088197565108005,-0.04043835658937381,-0.015382291310150351,-0.17225253509058494,0.010229112724951884,0.08136857306178842,0.048947106968917166,0.0037673155195025996,0.029729992701627277,-0.04404172821082275,0.36519367118322493,0.4238154595854939,0.5176340085144645,-0.36704629935518046,-0.3676010240126728,-0.6288890560269127,0.04449897979632503,0.2377285340404477,0.20241573884126235,0.10726011103474975,0.22409407656841518,0.13678383204411926,0.36519367118322493,0.4238154595854939,0.5176340085144645,0.08562810819926825,0.03398649058642098,0.0023749643432007064,-0.09261673196177424,0.004728506431757591,-0.04467830069960991,0.11198926489382495,0.041597691207061374,0.2872343228488699,0.039679529046105035,0.26798277826430345,0.19728139754679463,-0.15952803923660064,-0.05892054864520866,-0.2902160558816815,0.10560257149111367,-0.07276763216330728,0.19470244007891432,0.05608194071652217,0.26798277826430345,0.19728139754679463,0.10560257149111367,0.26798277826430345,0.20755008013573004,0.10560257149111367,0.18923774917679917,0.19728139754679463,0.044498979796325,0.23772853404044766,0.2024157388412623,0.044498979796325,0.06965192591353446,0.19728139754679463,0.11261986498540429,0.18679952430015143,0.1840580332013236,54,55,Scream,81641405.0,138874789,13383642.0,3664.0,3653,30018805.0,81641405.0,137743924.0,38947929.0,3664.0,54788780.0,3666.0,64209744.0,3518.0,70341632.0,3227.0,81641405.0,22305.0,11.0,6.0,138874789.0,1.0,24000000.0,7.0,51000.0,70341632.0,14075.0
4,rh2,horror,1.4409362962657346,0.14859603068242477,0.026722733892639492,0.14859603068242475,2.8461538461538463,0.38461538461538464,0.028537108074640383,0.020243109899622337,0.16289281070377026,-0.028772025321954844,-0.045021190636214875,-0.06583950178244123,-0.0411538593187178,-0.05320638517394453,0.07717953184238052,-0.013796258855344076,-0.025994821970179043,0.05807761358790315,0.34962369894515,0.3988435436496878,0.6903650359510038,-0.36428524114342886,-0.42559310973819203,-0.5300394416768701,0.06847000342556041,0.04899357513118611,0.21632926481582007,0.027296386528431804,0.06081842914735222,0.2347963555811937,0.34962369894515,0.3988435436496878,0.6903650359510038,0.024278204847103208,-0.03859144003275166,0.003762971049320052,0.025505780000774133,0.0958192605532123,-0.009039052840474708,0.07628138975616944,0.0018068411631374957,-0.14913996913738525,0.10045456002702619,0.0031498024378620723,0.14698377817538383,-0.017849162984301052,-0.039272782866946826,-0.2512897572470617,-0.017849162984301052,0.0031498024378620723,0.3599813328828217,0.10045456002702619,0.0031498024378620723,0.14698377817538383,0.10045456002702619,0.0031498024378620723,0.3599813328828217,0.10045456002702619,0.0031498024378620723,0.3599813328828217,0.06847000342556041,-0.008759708762938079,0.21632926481582007,0.06847000342556041,-0.008759708762938079,0.21632926481582007,0.180879491437875,0.2461430194137878,0.21237676864797306,31,32,Saw X,47254428.0,74852798,7965110.0,3262.0,2442,18309301.0,53607898.0,111822387.0,24404793.0,3262.0,35729120.0,3262.0,43649877.0,3058.0,48611927.0,2756.0,53607898.0,16729.0,7.0,5.0,109238490.0,9.0,13000000.0,7.0,16000.0,48611927.0,12338.0
5,rh3,horror,1.4162745391113802,0.3803309196898318,0.002060976738285092,0.3803309196898318,2.857142857142857,0.3794642857142857,0.035260554654645386,0.043376562682967267,0.10408448285015634,0.011803410338591181,-0.08585118169034514,-0.010219324516584059,-0.04447117023399979,0.03492059351936468,0.0005378406778682851,0.0008642649197455941,-0.0025180084960043877,0.03146766633714683,0.3572084736494786,0.3815960125974693,0.6180534530161587,-0.35072700469503015,-0.42969925675960435,-0.5578861010542567,0.11341454123425342,0.10501815889419194,0.2002897222653715,0.00948033460978235,0.10413413886620672,0.35647316046539324,0.3572084736494786,0.3815960125974693,0.6180534530161587,-0.03171891971269177,-0.026390724570826675,-0.038993713734398305,0.04880976828763368,0.031405616563138325,-0.028353482009471475,-0.018355836975988093,0.059326577946737666,-0.2765517214992904,0.05366387758071879,0.11045223300351147,0.18589243597878527,-0.14408843263499652,0.06295448002530589,0.01925251670952887,0.050599025314288185,0.09958408478487242,0.18589243597878527,-0.07141098739661643,0.11045223300351147,0.18589243597878527,0.18935825105056908,0.11045223300351147,0.18589243597878527,0.18935825105056908,0.11045223300351147,0.18589243597878527,0.11341454123425342,0.10501815889419196,0.18589243597878527,0.11341454123425342,0.10501815889419196,0.18589243597878527,0.10038572501262102,0.14927638774968202,0.024550928249741866,33,34,Resident Evil: Welcome to Raccoon City,17000612.0,41909091,2505531.0,2803.0,894,5319280.0,17000612.0,41914915.0,3531339.0,2803.0,10518747.0,2803.0,14201944.0,2803.0,16452990.0,2572.0,17000612.0,11149.0,6.0,3.0,41909091.0,11.0,25000000.0,5.0,15000.0,16452990.0,10981.0
6,rh4,horror,1.1648218697073116,0.31883138142082706,-0.24939169266578323,0.31883138142082706,2.5,0.109375,-0.0771435220142086,0.009854031183446509,-0.15144422126874657,-0.0011449168413398502,-0.008412262278045987,-0.03549524175742255,-0.04568219206081898,0.033618344346829664,-0.1438303553425462,-0.041323543638789144,0.011686704417410062,-0.11025660612290511,0.2622068568479569,0.4281486720151788,0.556449259909973,-0.33211595788161036,-0.4694086709350543,-0.6580104040916758,-0.011208734255304852,0.07409650587081097,0.06664081429038651,-0.04055321672654347,0.13497568340265736,0.016638076213447473,0.2622068568479569,0.4281486720151788,0.556449259909973,-0.08203891156260976,0.04113930091709917,-0.1270797296075209,-0.07400518749014447,0.004979978760689387,-0.17902142361163972,-0.019964523469777475,0.08566275543807744,-0.022636283643025196,0.04205340784824549,-0.014797234510547428,0.1899075346000656,-0.08397540345588038,0.027229145440105046,0.1899075346000656,-0.08397540345588038,0.11000045520229179,0.1899075346000656,-0.023233819482061213,-0.014797234510547428,0.1899075346000656,0.04205340784824549,0.11000045520229179,0.1899075346000656,0.0014485599433191748,0.1499287546923251,0.02552204624997628,-0.021657570791747637,0.13266075891663118,0.06664081429038651,0.00984527900659024,0.15645950047224721,-0.026608137328946683,-0.10477392503439882,0.245539755791318,0.15897749565878402,34,35,Insidious: The Red Door ,85301636.0,263401636,15203849.0,3188.0,4769,33013036.0,82156962.0,189086877.0,45085554.0,3188.0,64501673.0,3188.0,74906584.0,2554.0,79530087.0,1914.0,82156962.0,12465.0,10.0,4.0,186258928.0,7.0,16000000.0,6.0,13000.0,79530087.0,10844.0
7,rh5,horror,1.2182452412468108,0.17521457560748613,-0.1959683211262841,0.17521457560748613,2.2142857142857144,-0.25892857142857145,-0.008207086996848046,0.012706489323789023,0.020304951389712993,0.005668988880489937,0.009789893031328128,-0.06318394415579749,-0.0652812947514995,-0.018284013903347187,-0.14406335474627002,-0.02260646428928586,0.0014041228172566565,-0.062314115837451514,0.35673182725615826,0.3654662232490801,0.5728512539536831,-0.32715582228479967,-0.4401088809011223,-0.733798963075673,0.06902069941949007,0.1758386949891358,0.08530961880295626,0.0494002726876576,0.17002674391084605,-0.025816751513738,0.35673182725615826,0.3654662232490801,0.5728512539536831,0.06078993828683669,0.007282183483004399,0.0420990036620195,-0.009243521570536166,0.03947440737155755,-0.2028560916838323,0.007394654432322698,0.11797830841281268,0.059766530579161606,-0.01996620175855122,0.030170009305496313,-0.0017829038711454875,-0.003919019125958824,-0.013641190253882232,-0.27311691129698346,-0.01996620175855122,-0.013641190253882232,-0.01400037761889367,0.05621646756629485,0.030170009305496313,-0.0017829038711454875,0.0632007671496627,0.030170009305496313,0.15909550982001594,0.07484063168931746,0.1758386949891358,0.06974159097604997,0.0632007671496627,0.02197818963574503,0.08530961880295626,0.06902069941949006,0.1758386949891358,0.05016034743420948,0.026674110788556384,-0.09369624984807955,0.06735881114193575,36,37,Talk to Me ,82156962.0,186258928,4197960.0,2340.0,1794,10431720.0,48299436.0,92039206.0,15862780.0,2340.0,26204909.0,2370.0,34208710.0,2379.0,38977888.0,2379.0,48299436.0,14166.0,13.0,6.0,92181818.0,7.0,4500000.0,7.0,34000.0,38977888.0,9468.0
8,rh6,horror,1.2788570499410314,-0.011724388999209955,-0.13535651243206354,-0.011724388999209969,2.4615384615384617,0.057692307692307696,0.05909294082589871,0.08691383210890742,0.03271849064479183,-0.0127749884373432,-0.019974053595829634,-0.06475080835304717,-0.08767839984939915,-0.026619948850823527,0.0041791597524576144,-0.0137868158202812,0.013439943220751401,-0.009284385985265906,0.3610618780834904,0.40033735373916063,0.5963416471784464,-0.3495131802061178,-0.325351319022585,-0.5501450639145197,0.14750157701999006,0.12702215338979572,0.06600284116796584,0.16393355563594691,0.10197600611891734,0.26409350716660945,0.3610618780834904,0.40033735373916063,0.5963416471784464,0.160525617364739,0.11022168629654315,0.010733487103458396,0.06299894733312525,0.024133139855202233,0.025967700258343624,-0.11598881630138848,-0.05520400746305895,-0.2723337929821449,0.14414072898939506,-0.012856008737715438,0.06258316803362278,-0.20223093199885517,-0.03744379750720041,0.08818791773354717,0.14414072898939506,0.0017275960307956523,-0.055329342108504154,0.14414072898939506,0.02868373680324937,0.06258316803362278,0.14414072898939506,0.13241977264199756,0.12027247504471789,0.15086242505058509,0.10044836730448353,-0.002001595179368806,0.08820443994214576,0.07592055848084821,0.06600284116796586,0.14750157701999006,0.06456605205386647,-0.0767805665568296,-0.09323914369728305,-0.3479357948265805,-0.009049531317167542,38,39,M3gan,95043350.0,181013217,11726555.0,3509.0,3342,30429860.0,95159005.0,180089109.0,38533510.0,3509.0,63487510.0,3605.0,75903725.0,3628.0,83797375.0,3416.0,95159005.0,22218.0,10.0,6.0,181134416.0,1.0,12000000.0,7.0,47000.0,83797375.0,14158.0
9,rh7,horror,1.1909526390037664,0.3004201513853444,-0.2232609233693286,0.3004201513853444,2.6363636363636362,0.1875,-0.006005403742432252,0.004175073515131045,0.17204781730879024,-0.09048641166265048,-0.06317203919509105,-0.15006496186973192,0.002846450309204834,-0.04398120614451086,0.0467719393910677,-0.031215121698625937,-0.03432605727482362,0.02291826494337533,0.3427586083708444,0.3726184415568037,0.6202791026024334,-0.38571903243357064,-0.3674743119316555,-0.560185819782479,-0.006099478039410375,0.03004448020178896,0.2429341054249075,0.10203376159021893,0.04414828018845698,0.23110362751371957,0.3427586083708444,0.3726184415568037,0.6202791026024334,0.037937232936920015,0.11769440556406098,0.08311889566114034,0.04841040803755305,-0.026920217959727898,-0.24331702851709966,-0.004370788984384197,0.10307225365902042,-0.025032859938384246,-0.049570936033203485,-0.05256502141399097,0.32955453793729766,-0.00644390005211025,-0.07902218398353275,-0.3655251889549737,-0.036148649338420706,-0.11137431580850982,0.32955453793729766,-0.02414203945427895,-0.05256502141399097,0.10828098473224156,-0.006099478039410375,0.04599312693375586,0.15631367291251735,-0.006099478039410375,-0.11433753068695475,0.15631367291251735,0.11650003274090555,0.09255213566043326,0.15631367291251735,0.11650003274090555,0.0237938664905652,0.15631367291251735,-0.04526912734712232,0.04647016015063501,0.16163468713412354,39,40,Evil Dead Rise,67233054.0,146017671,10348229.0,3402.0,3042,24504315.0,67233054.0,147033054.0,32216195.0,3402.0,48363822.0,3417.0,56460357.0,3036.0,61730752.0,2821.0,67356372.0,16204.0,8.0,5.0,146140989.0,4.0,12000000.0,7.0,39000.0,61730752.0,12676.0
