Trailer,Type,NAcc_DP,AIns_DP,MPFC_DP,NAcc_DPy,AIns_DPy,MPFC_DPy,NAcc_AVG,AIns_AVG,MPFC_AVG,NAcc_AVGy,AIns_AVGy,MPFC_AVGy
rh6,Horror,1.0,4.0,13.0,1.0,1.0,1.0,1,1,1,1,1,1
uh1,Horror,14.0,12.0,0.0,14.0,7.0,4.0,14,13,5,14,14,14
rc2,Comedy,2.0,1.0,2.0,1.0,13.0,3.0,1,2,0,1,1,13
rh2,Horror,3.0,5.0,1.0,3.0,3.0,3.0,3,5,1,3,3,1
rh1,Horror,6.0,0.0,2.0,6.0,0.0,2.0,7,0,2,6,0,2
rc9,Comedy,9.0,0.0,1.0,11.0,0.0,13.0,6,11,5,5,11,5
uc4,Comedy,4.0,8.0,3.0,4.0,8.0,3.0,3,3,2,3,3,8
rh9,Horror,3.0,2.0,1.0,3.0,0.0,13.0,3,1,2,3,1,2
uh2,Horror,7.0,0.0,2.0,0.0,0.0,2.0,14,0,2,9,0,2
rc6,Comedy,6.0,0.0,1.0,6.0,0.0,2.0,6,0,1,12,0,1
rh3,Horror,3.0,3.0,0.0,3.0,3.0,0.0,3,3,0,3,3,0
rc11,Comedy,10.0,2.0,2.0,8.0,4.0,2.0,10,2,2,8,2,2
uc1,Comedy,7.0,0.0,0.0,7.0,0.0,0.0,13,0,0,13,0,0
rh11,Horror,14.0,14.0,0.0,14.0,8.0,0.0,14,14,0,14,12,0
rc12,Comedy,9.0,10.0,1.0,5.0,9.0,7.0,11,0,0,11,0,7
rc5,Comedy,2.0,2.0,1.0,2.0,2.0,0.0,2,2,1,2,2,0
rc3,Comedy,2.0,0.0,1.0,2.0,1.0,1.0,1,0,1,0,3,5
rh12,Horror,4.0,14.0,14.0,0.0,7.0,14.0,12,14,14,14,11,14
rc1,Comedy,3.0,13.0,13.0,0.0,14.0,14.0,3,14,10,0,14,10
rh7,Horror,10.0,14.0,0.0,10.0,14.0,0.0,14,14,0,0,14,0
rc8,Comedy,13.0,14.0,12.0,0.0,1.0,12.0,13,14,12,0,1,14
uc3,Comedy,0.0,7.0,0.0,2.0,1.0,0.0,1,0,0,2,0,0
rh10,Horror,14.0,5.0,0.0,4.0,0.0,6.0,4,5,0,14,3,11
rc4,Comedy,4.0,1.0,0.0,4.0,1.0,0.0,0,0,1,0,0,1
rh4,Horror,12.0,14.0,14.0,14.0,14.0,8.0,3,14,8,12,13,10
uc2,Comedy,10.0,14.0,11.0,9.0,0.0,2.0,10,14,11,14,14,11
rh5,Horror,0.0,14.0,0.0,2.0,13.0,4.0,0,14,0,1,0,8
rh8,Horror,0.0,0.0,0.0,14.0,0.0,9.0,1,1,0,14,2,9
rc10,Comedy,12.0,14.0,0.0,12.0,0.0,10.0,7,14,7,13,14,0
uh3,Horror,14.0,14.0,0.0,0.0,11.0,0.0,14,13,0,10,13,0
rc7,Comedy,1.0,1.0,1.0,0.0,1.0,12.0,0,0,0,12,0,13
uh4,Horror,0.0,0.0,6.0,9.0,14.0,6.0,0,0,6,9,14,0
