Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score
rh6,Horror,12,42,30,3,3,2
uh1,Horror,60.0,90.0,30,4,2,3
rc2,Comedy,108.0,138.0,30,4,4,3
rh2,Horror,152.0,182.0,30,2,3,2
rh1,Horror,196.0,226.0,30,3,2,3
rc9,Comedy,244.0,274.0,30,2,2,1
uc4,Comedy,288.0,318.0,30,2,2,1
rh9,Horror,332.0,362.0,30,3,3,3
uh2,Horror,376.0,406.0,30,4,3,4
rc6,Comedy,420.0,450.0,30,2,2,1
rh3,Horror,468.0,498.0,30,4,3,4
rc11,Comedy,512.0,542.0,30,1,2,1
uc1,Comedy,560.0,590.0,30,3,3,2
rh11,Horror,608.0,638.0,30,4,2,4
rc12,Comedy,656.0,686.0,30,3,3,2
rc5,Comedy,700.0,730.0,30,2,3,2
rc3,Comedy,12,42,30,1,2,1
rh12,Horror,60.0,90.0,30,4,2,4
rc1,Comedy,108.0,138.0,30,2,3,1
rh7,Horror,152.0,182.0,30,4,2,4
rc8,Comedy,200.0,230.0,30,3,4,2
uc3,Comedy,244.0,274.0,30,1,2,1
rh10,Horror,288.0,318.0,30,4,2,4
rc4,Comedy,332.0,362.0,30,1,1,1
rh4,Horror,380.0,410.0,30,4,2,4
uc2,Comedy,428.0,458.0,30,1,3,2
rh5,Horror,476.0,506.0,30,4,4,3
rh8,Horror,520.0,550.0,30,4,2,4
rc10,Comedy,568.0,598.0,30,1,2,1
uh3,Horror,616.0,646.0,30,4,1,4
rc7,Comedy,660.0,690.0,30,3,4,2
uh4,Horror,704.0,734.0,30,4,3,3
