Participant,Trailer,W_score,F_score,A_score,Pos_arousal,Neg_arousal,W_score_scaled,F_score_scaled,A_score_scaled,Pos_arousal_scaled,Neg_arousal_scaled,NAcc_TR1,NAcc_TR2,NAcc_TR3,NAcc_TR4,NAcc_TR5,NAcc_TR6,NAcc_TR7,NAcc_TR8,NAcc_TR9,NAcc_TR10,NAcc_TR11,NAcc_TR12,NAcc_TR13,NAcc_TR14,NAcc_TR15,AIns_TR1,AIns_TR2,AIns_TR3,AIns_TR4,AIns_TR5,AIns_TR6,AIns_TR7,AIns_TR8,AIns_TR9,AIns_TR10,AIns_TR11,AIns_TR12,AIns_TR13,AIns_TR14,AIns_TR15,Amyg_TR1,Amyg_TR2,Amyg_TR3,Amyg_TR4,Amyg_TR5,Amyg_TR6,Amyg_TR7,Amyg_TR8,Amyg_TR9,Amyg_TR10,Amyg_TR11,Amyg_TR12,Amyg_TR13,Amyg_TR14,Amyg_TR15,MPFC_TR1,MPFC_TR2,MPFC_TR3,MPFC_TR4,MPFC_TR5,MPFC_TR6,MPFC_TR7,MPFC_TR8,MPFC_TR9,MPFC_TR10,MPFC_TR11,MPFC_TR12,MPFC_TR13,MPFC_TR14,MPFC_TR15,Onset
sub-05,rh6,3.0,3.0,3.0,4.24264068711928,0.0,1.28125,0.53125,1.5,1.43631064928517,0.685009694274468,-0.748861,-0.15396,-0.435287,-1.07195,-1.10984,-1.33541,-1.20137,-1.04291,-0.703346,-0.0879838,,,,1.50865,0.967955,0.996499,0.62041,0.188211,0.152016,-0.134306,-0.0905927,0.160923,0.239757,-0.0509416,-0.3271,,,,-0.450501,-0.502641,0.324742,0.138011,0.0383431,0.312605,0.401207,0.116555,0.304382,0.36831,0.480089,0.802549,,,,-0.296263,-0.675814,-1.33686,-1.42826,-1.26599,-0.478129,-1.22717,-2.18623,-1.04121,-0.373224,-0.942815,-0.856421,,,,0.711837,1.47987,700
sub-05,uh1,1.0,1.0,3.0,2.82842712474619,1.4142135623731,-0.71875,-1.46875,1.5,0.0220970869120796,2.09922325664756,-0.13722,-0.0109632,0.243976,0.200338,-0.805269,0.112038,-0.122278,-0.327234,-0.494779,-0.215073,-0.0434374,-0.301633,-0.519759,-0.319868,-0.511306,0.371777,0.304196,-0.100082,-0.121149,-0.0313106,-0.0106694,-0.380135,0.183244,0.132988,-0.335117,-0.583441,-0.045531,-0.0281407,-0.216263,0.172809,0.00550534,-0.409326,-0.257371,-0.34695,-0.153078,0.160696,0.201519,0.339801,-0.0754978,-0.0742078,0.108708,0.0274638,0.233936,0.0313925,-0.296194,0.00102003,0.0964829,-0.241578,0.0276067,-0.251994,-0.357628,-0.482411,0.813708,0.0570826,-0.775642,-0.740893,-0.261998,-0.50385,-1.59358,0.475221,700
sub-05,rc2,2.0,3.0,1.0,2.82842712474619,-1.4142135623731,0.28125,0.53125,-0.5,0.0220970869120796,-0.729203868098627,-0.837805,-0.319441,-0.27334,,,0.740252,0.936445,0.71947,0.329209,-0.00879646,0.0870526,0.202736,0.386819,-0.321306,-0.190181,0.500992,-0.0480885,-0.17505,,,-0.0548209,-0.140896,0.109797,-0.223715,0.0648609,-0.161232,-0.253723,-0.309228,-0.169322,0.034581,-0.031309,0.0257896,-0.112988,,,0.27509,0.0743752,0.0420321,-0.230854,0.00245388,0.0737305,0.0748412,-0.12407,0.132303,0.174687,-0.49577,-0.917796,-0.985168,,,0.330615,-0.212174,-0.213201,0.0170287,0.367477,-0.175826,0.217757,0.328526,0.46809,-0.329014,700
sub-05,rh2,1.0,2.0,1.0,2.12132034355964,-0.707106781186547,-0.71875,-0.46875,-0.5,-0.685009694274468,-0.0220970869120796,-0.386381,-0.924214,-0.730307,-0.976901,-0.0253242,0.409972,0.546734,-0.136041,-0.385135,-0.393174,-0.0346708,0.344706,0.31179,0.176351,-0.266905,-0.049005,0.00845181,-0.245757,-0.372247,0.0156026,-0.00716878,0.134122,-0.292172,-0.533959,-0.0542486,-0.250786,0.212618,-0.0990669,-0.326557,-0.239446,-0.273715,-0.304896,-0.660883,-0.535744,-0.151905,0.287094,0.394643,-0.18988,-0.447391,-0.157369,-0.0519391,0.0944224,-0.137741,-0.14147,-0.242512,0.0841147,-0.588706,-0.395706,-1.04781,-0.233969,0.583361,1.00886,-0.0966025,-1.07219,-0.491557,-0.0945236,0.136121,0.0157343,-0.413186,-0.606118,700
sub-05,rh1,2.0,2.0,2.0,2.82842712474619,0.0,0.28125,-0.46875,0.5,0.0220970869120796,0.685009694274468,-0.3252,0.047629,-0.989725,-0.826696,-0.784112,-0.37987,-0.459989,-0.461663,-0.0328712,0.0749593,-0.219224,0.0309996,-0.312532,0.592242,0.380657,0.462667,0.0579015,-0.691058,-0.261899,-0.116484,0.0190635,-0.576251,-0.262016,0.198731,-0.305284,-0.212464,-0.605801,-0.584256,-0.19511,0.0130166,0.295099,0.0924251,-0.488166,-0.26651,-0.294038,-0.180157,0.0476685,-0.177605,0.438179,-0.110366,-0.0859681,-0.487088,-0.43438,0.190745,-0.164964,0.522812,-0.172199,-1.15377,-0.722078,-0.0890462,-0.16881,-0.849116,-0.260376,0.30831,-0.39591,-1.00815,-0.0707834,-0.174203,0.104135,0.293095,700
sub-05,rc9,2.0,3.0,2.0,3.53553390593274,-0.707106781186547,0.28125,0.53125,0.5,0.729203868098627,-0.0220970869120796,0.146754,-0.27495,0.170518,-0.269354,-0.607412,-0.18181,-0.679736,0.371467,0.281999,0.914322,0.587317,0.81822,-0.114697,-1.2195,-1.07587,0.450066,-0.160799,-0.143254,-0.122414,-0.412004,-0.340219,-0.0241057,-0.382429,-0.2149,0.0189895,0.0732903,-0.0562586,-0.939244,-0.200166,-0.08359,0.383234,-0.673848,-0.559692,-0.456483,-0.47711,-0.243987,-0.336893,0.0193767,-0.0336876,0.407747,0.338381,0.609005,-0.127938,-0.247682,0.261515,-0.178772,0.0997629,0.40276,0.0654649,0.245911,0.512159,0.636368,0.0283488,0.16509,0.0309174,0.712825,0.367363,-0.240248,0.144322,-0.397851,700
sub-05,uc4,1.0,3.0,1.0,2.82842712474619,-1.4142135623731,-0.71875,0.53125,-0.5,0.0220970869120796,-0.729203868098627,-0.0377406,-0.68795,-0.478766,-1.06841,-0.536927,-0.461466,0.651202,1.41076,1.69164,1.28728,0.940585,-0.0648028,0.587712,0.289366,0.657045,-0.183906,-0.281089,-0.385185,0.145413,0.173271,0.0518164,-0.680138,0.267299,-0.404098,-0.295176,-0.431009,-0.0288165,-0.201534,0.285875,0.170069,-0.312505,-0.0357374,-0.477576,-0.339469,0.132827,-0.223043,-0.0770733,0.520956,0.728716,0.185208,0.0839693,-0.51431,-0.0901535,0.1078,0.386031,-0.709186,-0.72897,-0.903151,-0.660599,-0.273506,-1.3306,0.281998,1.30697,0.489986,0.0166177,0.465548,0.300715,0.830217,1.30726,0.943595,700
sub-05,rh9,2.0,3.0,2.0,3.53553390593274,-0.707106781186547,0.28125,0.53125,0.5,0.729203868098627,-0.0220970869120796,-0.458889,-0.357289,-0.376749,-0.598418,-0.737801,-0.513408,-0.836122,-0.715143,-0.589348,-0.7232,-1.03099,-0.432369,-0.24561,0.352063,-0.145153,-0.0117023,-0.231692,-0.0939359,-0.024594,0.0268452,0.0499445,0.122071,0.339634,0.172959,-0.725003,-0.571648,-1.08705,-0.241227,-0.334074,-0.407831,-0.46829,-0.503267,-0.0986472,-0.403999,-0.195641,-0.0597773,0.0862457,-0.203135,-0.151379,-0.453675,-0.223623,-0.144135,0.280015,0.44403,0.212263,-0.832081,-0.725936,-0.317908,-0.184836,-0.276519,0.0702062,-0.355266,-0.563784,-0.578023,-0.889469,-1.24354,-0.884769,-0.87709,-0.0865085,-0.234311,700
sub-05,uh2,3.0,3.0,2.0,3.53553390593274,-0.707106781186547,1.28125,0.53125,0.5,0.729203868098627,-0.0220970869120796,0.108664,-0.324346,-0.6128,-0.359731,0.0227554,0.529831,0.242171,0.589814,0.404207,0.592629,0.0949527,0.0457854,0.119997,0.232379,0.513887,0.0448229,-0.0565112,-0.0335806,-0.577195,-0.693541,-0.89218,-0.879892,-0.0902169,0.747347,0.307584,0.122597,-0.177656,-0.391263,-0.216952,0.152395,-0.233319,-0.436599,-0.7081,-0.289473,-0.235174,0.180404,-0.0197659,0.0988283,0.149442,0.262067,0.0967267,-0.0280677,-0.214615,0.17598,0.185202,0.523359,0.823044,1.03374,-0.692043,-0.553166,-0.718638,-0.570851,-0.0415271,0.966596,0.551269,0.150164,0.198652,-0.298513,0.543316,0.598923,700
sub-05,rc6,3.0,3.0,1.0,2.82842712474619,-1.4142135623731,1.28125,0.53125,-0.5,0.0220970869120796,-0.729203868098627,-0.31612,-0.37461,0.188303,0.0944901,-0.00991305,-0.278115,-0.827537,-0.801284,-0.780721,-0.807732,-1.02926,-1.31096,-1.03607,-0.360456,0.667819,0.550085,0.501889,0.539119,-0.0586124,-0.342513,-0.108933,-0.457854,-0.509394,-0.42694,-0.470337,-0.593334,-0.872161,-0.450731,-0.495563,-0.32979,-0.680557,-0.202662,-0.0754485,-0.194391,-0.0399011,0.0215882,-0.134206,0.12316,0.131539,-0.0185186,-0.347763,-0.568272,-0.250497,0.181101,0.40541,0.114513,0.507635,0.0146943,-1.52611,-0.915999,-1.11756,-0.973685,-1.58411,-1.26588,-1.08157,-0.950153,-1.0915,-0.83413,-0.0280691,2.12759,700
