Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,Pos_arousal,Neg_arousal
rh6,Horror,12,42,30,3,4,3,1.945625512983303,0.1592504868278149
uh1,Horror,60.0,90.0,30,1,1,2,0.5608386710023044,-0.03461967104952496
rc2,Comedy,108.0,138.0,30,3,3,2,1.6825160130069132,-0.10385901314857486
rh2,Horror,152.0,182.0,30,1,1,4,0.5608386710023044,-0.03461967104952496
rh1,Horror,196.0,226.0,30,2,2,3,1.121677342004609,-0.06923934209904992
rc9,Comedy,244.0,274.0,30,3,4,3,1.945625512983303,0.1592504868278149
uc4,Comedy,288.0,318.0,30,1,3,1,1.0870576709550839,0.49159932890325453
rh9,Horror,332.0,362.0,30,2,2,3,1.121677342004609,-0.06923934209904992
uh2,Horror,376.0,406.0,30,3,4,3,1.945625512983303,0.1592504868278149
rc6,Comedy,420.0,450.0,30,3,3,2,1.6825160130069132,-0.10385901314857486
rh3,Horror,468.0,498.0,30,2,2,2,1.121677342004609,-0.06923934209904992
rc11,Comedy,512.0,542.0,30,4,4,3,2.243354684009218,-0.13847868419809983
uc1,Comedy,560.0,590.0,30,3,4,2,1.945625512983303,0.1592504868278149
rh11,Horror,608.0,638.0,30,1,2,1,0.8239481709786942,0.2284898289268648
rc12,Comedy,656.0,686.0,30,4,4,3,2.243354684009218,-0.13847868419809983
rc5,Comedy,700.0,730.0,30,2,0,2,0.5954583420518295,-0.5954583420518295
