Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled
rh6,Horror,12,42,30,2,1,2,0.9054416100559449,-0.1983348288693975,-0.5087719523171498,-0.1983348288693975,-0.625
uh1,Horror,60.0,90.0,30,4,4,3,2.242045891567102,0.5863812331790882,0.8278323291940073,0.5863812331790882,1.375
rc2,Comedy,108.0,138.0,30,2,2,3,1.5349391103805543,-0.12072554800745927,0.1207255480074596,-0.12072554800745927,-0.625
rh2,Horror,152.0,182.0,30,4,4,1,1.6901576721044305,1.1382694526417594,0.27594410973133576,1.1382694526417594,1.375
rh1,Horror,196.0,226.0,30,3,3,2,1.6125483912424923,0.50877195231715,0.19833482886939757,0.50877195231715,0.375
rc9,Comedy,244.0,274.0,30,2,1,2,0.9054416100559449,-0.1983348288693975,-0.5087719523171498,-0.1983348288693975,-0.625
uc4,Comedy,288.0,318.0,30,4,2,4,1.8108832201118898,-0.396669657738795,0.39666965773879515,-0.396669657738795,1.375
rh9,Horror,332.0,362.0,30,3,3,2,1.6125483912424923,0.50877195231715,0.19833482886939757,0.50877195231715,0.375
uh2,Horror,376.0,406.0,30,2,1,2,0.9054416100559449,-0.1983348288693975,-0.5087719523171498,-0.1983348288693975,-0.625
rc6,Comedy,420.0,450.0,30,2,2,3,1.5349391103805543,-0.12072554800745927,0.1207255480074596,-0.12072554800745927,-0.625
rh3,Horror,468.0,498.0,30,3,3,3,1.888492500973828,0.23282784258581446,0.47427893860073334,0.23282784258581446,0.375
rc11,Comedy,512.0,542.0,30,1,1,2,0.9054416100559449,-0.1983348288693975,-0.5087719523171498,-0.1983348288693975,-1.625
uc1,Comedy,560.0,590.0,30,2,1,3,1.1813857197872806,-0.474278938600733,-0.23282784258581413,-0.474278938600733,-0.625
rh11,Horror,608.0,638.0,30,4,3,4,2.1644366107051636,-0.04311626714552123,0.7502230483320689,-0.04311626714552123,1.375
rc12,Comedy,656.0,686.0,30,1,1,2,0.9054416100559449,-0.1983348288693975,-0.5087719523171498,-0.1983348288693975,-1.625
rc5,Comedy,700.0,730.0,30,3,0,3,0.8278323291940067,-0.8278323291940067,-0.586381233179088,-0.8278323291940067,0.375
