Trailer,NAcc_GLM,AIns_GLM,vmPFC_GLM,Participant
rh6,0.26381120987626056,0.06895580957341839,0.34331203437708624,sub-36
rc3,-0.04964453777461084,-0.07003293856237439,0.25441645113594247,sub-36
uh1,0.03796049009671925,0.08449192916967317,-0.054287343562479815,sub-36
rh12,-0.16562188608652392,-0.0187788409924305,-0.06687169836840054,sub-36
rc2,0.17597618212342184,-0.08088638969835654,-0.037040561295155525,sub-36
rc1,0.08294031941791866,-0.05171131290831343,0.336070714045962,sub-36
rh2,0.2322913192743358,0.17611553039400707,-0.2105712878096423,sub-36
rh7,-0.02405992888256938,0.09063007322550706,-0.0501920474884571,sub-36
rh1,0.04388025221244947,0.05877501596550763,-0.2773304774080082,sub-36
rc8,-0.1626011970858594,0.060762592169728076,-0.2492630557101214,sub-36
rc9,0.28480325820519914,-0.10882394353083731,-0.10762161105564191,sub-36
uc3,0.16525545419117624,-0.07057556207206567,0.12744684302257547,sub-36
uc4,0.2839522008057277,-0.12158965826298897,-0.18609757067101695,sub-36
rh10,0.02231326667972302,-0.18145526177199311,-0.11658303631002374,sub-36
rh9,0.018617680051385636,-0.1194005209487647,-0.12346352370383011,sub-36
rc4,-0.20802088465349347,-0.11372237710839327,0.007684708051067622,sub-36
uh2,0.31980227827200947,-0.017893805511513254,0.5665556333513402,sub-36
rh4,-0.0927739464893322,-0.035371466838045665,0.02972132485570141,sub-36
rc6,0.19057082306242254,-0.07367345661556719,0.36701854519594773,sub-36
uc2,-0.08163135659913898,-0.10173814409634331,0.0062417191865338905,sub-36
rh3,0.1711404024440529,0.01668184713931501,-0.19257603701213372,sub-36
rh5,0.07274134095091343,-0.0041542409497042675,0.12521768605829575,sub-36
rc11,0.1521576034364766,-0.05856163716889941,-0.15786112401951471,sub-36
rh8,0.00967728569272612,0.02637475151342256,0.06847627051563937,sub-36
uc1,0.06445851300579564,-0.17764064347161285,0.17647623997483958,sub-36
rc10,-0.1989373248353516,-0.20101330397144715,-0.038920499512642315,sub-36
rh11,0.12725856188820442,0.15770018883516293,0.5102036178923115,sub-36
uh3,-0.13817771319248123,0.14978942240547685,0.5632029478655595,sub-36
rc12,0.36844429930549505,-0.10042144150657208,0.446266749123802,sub-36
rc7,0.07405026488045435,-0.09745546840564039,0.3794903170200889,sub-36
rc5,0.3062700529296537,0.10914637514098186,-0.039364321797465976,sub-36
uh4,0.18615636389196047,0.07842177652533762,0.026142439202527807,sub-36
